Time;Stress;First Derivative;Rate in degrees;Second Derivative
6,2;4,76E-07;9,999999999999904E-08;1,745329251994307E-09;4,999999999999855E-07
6,3;4,81E-07;5,000000000000076E-08;8,726646259971773E-10;-4,999999999999846E-07
6,4;4,91E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999855E-07
6,5;4,96E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000005E-07
6,6;5,06E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000094E-07
6,7;5,10E-07;3,999999999999962E-08;6,981317007977248E-10;-6,000000000000053E-07
6,8;5,21E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000082E-07
6,9;5,25E-07;3,999999999999962E-08;6,981317007977248E-10;-7,00000000000002E-07
7;5,35E-07;1,0000000000000046E-07;1,7453292519943318E-09;6,000000000000106E-07
7,1;5,40E-07;5,000000000000076E-08;8,726646259971773E-10;-4,999999999999988E-07
7,2;5,50E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999855E-07
7,3;5,55E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000005E-07
7,4;5,65E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999961E-07
7,5;5,69E-07;3,999999999999997E-08;6,981317007977309E-10;-5,999999999999983E-07
7,6;5,80E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000047E-07
7,7;5,84E-07;4,0000000000000676E-08;6,981317007977433E-10;-6,999999999999914E-07
7,8;5,94E-07;1,0000000000000046E-07;1,7453292519943318E-09;6E-07
7,9;5,99E-07;4,9999999999999257E-08;8,726646259971511E-10;-5,000000000000094E-07
8;6,09E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000138E-07
8,1;6,14E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000094E-07
8,2;6,24E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000094E-07
8,3;6,28E-07;3,999999999999926E-08;6,981317007977186E-10;-6,000000000000035E-07
8,4;6,39E-07;1,1000000000000125E-07;1,9198621771937763E-09;7,000000000000224E-07
8,5;6,43E-07;3,999999999999997E-08;6,981317007977309E-10;-7,000000000000153E-07
8,6;6,53E-07;1,0000000000000046E-07;1,7453292519943318E-09;6,00000000000007E-07
8,7;6,58E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000094E-07
8,8;6,68E-07;9,999999999999869E-08;1,7453292519943008E-09;4,999999999999827E-07
8,9;6,72E-07;3,999999999999997E-08;6,981317007977309E-10;-5,999999999999893E-07
9;6,83E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000047E-07
9,1;6,87E-07;4,0000000000001027E-08;6,981317007977494E-10;-6,999999999999941E-07
9,2;6,97E-07;9,99999999999994E-08;1,7453292519943132E-09;5,999999999999858E-07
9,3;7,02E-07;4,999999999999987E-08;8,726646259971619E-10;-4,999999999999882E-07
9,4;7,12E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000076E-07
9,5;7,16E-07;3,999999999999997E-08;6,981317007977309E-10;-6,00000000000007E-07
9,6;7,27E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000047E-07
9,7;7,31E-07;3,999999999999997E-08;6,981317007977309E-10;-7,000000000000047E-07
9,8;7,41E-07;9,999999999999869E-08;1,7453292519943008E-09;5,999999999999786E-07
9,9;7,46E-07;5,000000000000076E-08;8,726646259971773E-10;-4,99999999999981E-07
10;7,56E-07;1,0000000000000046E-07;1,7453292519943318E-09;4,999999999999988E-07
10,1;7,60E-07;3,999999999999997E-08;6,981317007977309E-10;-6,00000000000007E-07
10,2;7,59E-07;-1,0000000000000786E-08;-1,7453292519944668E-10;-5,000000000000093E-07
10,3;7,57E-07;-1,99999999999991E-08;-3,4906585039885014E-10;-9,999999999998172E-08
10,4;7,56E-07;-9,999999999999727E-09;-1,745329251994282E-10;9,999999999999409E-08
10,5;7,55E-07;-1,0000000000000786E-08;-1,7453292519944668E-10;-1,0587911840678792E-20
10,6;7,54E-07;-9,999999999999727E-09;-1,745329251994282E-10;1,0587911840678792E-20
10,7;7,53E-07;-9,999999999999727E-09;-1,745329251994282E-10;0
10,8;7,52E-07;-1,0000000000000609E-08;-1,7453292519944358E-10;-8,81774532981515E-21
10,9;7,52E-07;0;0;1,0000000000000644E-07
11;7,51E-07;-9,999999999999727E-09;-1,745329251994282E-10;-9,999999999999763E-08
11,1;7,50E-07;-9,999999999999727E-09;-1,745329251994282E-10;0
11,2;7,49E-07;-9,999999999999727E-09;-1,745329251994282E-10;0
12,2;7,43E-07;-6,000000000000027E-09;-1,0471975511966025E-10;3,9999999999997E-09
12,3;7,43E-07;0;0;5,999999999999943E-08
13,3;7,38E-07;-5,000000000000058E-09;-8,726646259971749E-11;-5,000000000000058E-09
13,4;7,38E-07;0;0;5,000000000000076E-08
14,4;7,34E-07;-3,999999999999983E-09;-6,981317007977288E-11;-3,999999999999983E-09
14,5;7,34E-07;0;0;3,999999999999997E-08
15,5;7,30E-07;-3,999999999999983E-09;-6,981317007977288E-11;-3,999999999999983E-09
15,6;7,30E-07;0;0;3,999999999999997E-08
16,6;7,27E-07;-3,0000000000000083E-09;-5,235987755983003E-11;-3,000000000000003E-09
16,7;7,27E-07;0;0;3,0000000000000725E-08
17,7;7,25E-07;-1,9999999999999385E-09;-3,4906585039885517E-11;-1,9999999999999385E-09
17,8;7,25E-07;0;0;1,99999999999991E-08
18,8;7,22E-07;-3,0000000000000136E-09;-5,2359877559830127E-11;-3,0000000000000136E-09
18,9;7,22E-07;0;0;3,000000000000078E-08
19,9;7,20E-07;-2,0000000000000444E-09;-3,4906585039887365E-11;-2,0000000000000444E-09
20;7,20E-07;0;0;2,000000000000016E-08
21;7,18E-07;-1,9999999999999385E-09;-3,4906585039885517E-11;-1,9999999999999385E-09
21,1;7,18E-07;0;0;1,99999999999991E-08
22,1;7,17E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
22,2;7,17E-07;0;0;1,0000000000000965E-08
23,2;7,15E-07;-1,9999999999999385E-09;-3,4906585039885517E-11;-1,9999999999999385E-09
23,3;7,15E-07;0;0;1,99999999999991E-08
24,3;7,14E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
24,4;7,14E-07;0;0;1,0000000000000965E-08
25,4;7,12E-07;-1,9999999999999385E-09;-3,4906585039885517E-11;-1,9999999999999385E-09
25,5;7,12E-07;0;0;1,99999999999991E-08
26,5;7,11E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
26,6;7,11E-07;0;0;1,0000000000000609E-08
27,6;7,10E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
27,7;7,10E-07;0;0;9,999999999999906E-09
28,7;7,09E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
28,8;7,09E-07;0;0;9,99999999999955E-09
29,8;7,08E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
29,9;7,08E-07;0;0;9,999999999999906E-09
30,9;7,07E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
31;7,07E-07;0;0;1,0000000000000609E-08
32;7,06E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
32,1;7,06E-07;0;0;9,99999999999955E-09
33,1;7,05E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
33,2;7,05E-07;0;0;9,99999999999955E-09
34,2;7,04E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
34,3;7,04E-07;0;0;1,000000000000132E-08
35,3;7,03E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
36,3;7,03E-07;0;0;9,999999999999692E-10
37,3;7,02E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
38,3;7,02E-07;0;0;9,999999999999692E-10
39,3;7,01E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
40,3;7,01E-07;0;0;9,999999999999692E-10
41,3;7,00E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
42,3;7,00E-07;0;0;1,0000000000000751E-09
43,3;6,99E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
44,3;6,99E-07;0;0;9,999999999999692E-10
45,3;6,99E-07;0;0;0
46,3;6,98E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
47,3;6,98E-07;0;0;9,999999999999692E-10
48,3;6,97E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
49,3;6,97E-07;0;0;1,0000000000000751E-09
50,3;6,97E-07;0;0;0
51,3;6,96E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
52,3;6,96E-07;0;0;9,999999999999692E-10
53,3;6,96E-07;0;0;0
54,3;6,95E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
55,3;6,95E-07;0;0;9,999999999999692E-10
56,3;6,95E-07;0;0;0
57,3;6,95E-07;0;0;0
58,3;6,94E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
59,3;6,94E-07;0;0;9,999999999999692E-10
60,3;6,94E-07;0;0;0
61,3;6,93E-07;-1,0000000000000751E-09;-1,7453292519944607E-11;-1,0000000000000751E-09
62,3;6,93E-07;0;0;1,0000000000000751E-09
63,3;6,93E-07;0;0;0
64,3;6,93E-07;0;0;0
65,3;6,93E-07;0;0;0
66,3;6,93E-07;0;0;0
67,3;6,92E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
68,3;6,92E-07;0;0;9,999999999999692E-10
69,3;6,92E-07;0;0;0
70,3;6,92E-07;0;0;0
71,3;6,92E-07;0;0;0
72,3;6,92E-07;0;0;0
73,3;6,92E-07;0;0;0
74,3;6,91E-07;-9,999999999999692E-10;-1,7453292519942758E-11;-9,999999999999692E-10
75,3;6,91E-07;0;0;9,999999999999692E-10
76,3;6,91E-07;0;0;0
