Time;Numeric;Experimental
564;3,57990642;
566;3,57982455;
568;3,57974373;
570;3,57966395;
572;3,57958518;
574;3,57950742;
576;3,57943065;
578;3,57935486;
580;3,57928005;
582;3,57920619;
584;3,57913327;
586;3,57906128;
588;3,57899021;
590;3,57892006;
592;3,5788508;
594;3,57878242;
596;3,57871492;
598;3,57864828;
600;3,57858249;
602;3,57851754;
604;3,57845342;
606;3,57839012;
608;3,57832763;
610;3,57826594;
612;3,57820504;
614;3,57814491;
616;3,57808556;
618;3,57802696;
620;3,57796911;
622;3,577912;
624;3,57785562;
626;3,57779996;
628;3,57774501;
630;3,57769077;
632;3,57763722;
634;3,57758435;
636;3,57753215;
638;3,57748063;
640;3,57742976;
642;3,57737954;
644;3,57732997;
646;3,57728103;
648;3,57723271;
650;3,57718501;
652;3,57713792;
654;3,57709143;
656;3,57704554;
658;3,57700023;
660;3,5769555;
662;3,57691134;
664;3,57686775;
666;3,57682472;
668;3,57678223;
670;3,57674029;
672;3,57669888;
674;3,576658;
676;3,57661765;
678;3,57657781;
680;3,57653848;
682;3,57649965;
684;3,57646132;
686;3,57642348;
688;3,57638612;
690;3,57634924;
692;3,57631283;
694;3,57627688;
696;3,5762414;
698;3,57620637;
700;3,57617178;
702;3,57613764;
704;3,57610393;
706;3,57607066;
708;3,57603781;
710;3,57600538;
712;3,57597336;
714;3,57594176;
716;3,57591055;
718;3,57587975;
720;3,57584934;
722;3,57581932;
724;3,57578968;
726;3,57576042;
728;3,57573154;
730;3,57570302;
732;3,57567487;
734;3,57564708;
736;3,57561964;
738;3,57559255;
740;3,57556581;
742;3,57553941;
744;3,57551335;
746;3,57548762;
748;3,57546222;
750;3,57543715;
752;3,5754124;
754;3,57538796;
756;3,57536383;
758;3,57534001;
760;3,5753165;
762;3,57529329;
764;3,57527037;
766;3,57524775;
768;3,57522542;
770;3,57520337;
772;3,5751816;
774;3,57516011;
776;3,5751389;
778;3,57511795;
780;3,57509728;
782;3,57507687;
784;3,57505672;
786;3,57503682;
788;3,57501719;
790;3,5749978;
792;3,57497866;
794;3,57495976;
796;3,57494111;
798;3,57492269;
800;3,57490451;
802;3,57488656;
804;3,57486885;
806;3,57485135;
808;3,57483408;
810;3,57481704;
812;3,57480021;
814;3,57478359;
816;3,57476719;
818;3,574751;
820;3,57473501;
822;3,57471923;
824;3,57470365;
826;3,57468827;
828;3,57467308;
830;3,57465809;
832;3,57464329;
834;3,57462868;
836;3,57461426;
838;3,57460002;
840;3,57458596;
842;3,57457209;
844;3,57455839;
846;3,57454486;
848;3,57453151;
850;3,57451833;
852;3,57450532;
854;3,57449247;
856;3,57447979;
858;3,57446727;
860;3,57445491;
862;3,5744427;
864;3,57443066;
866;3,57441876;
868;3,57440702;
870;3,57439543;
872;3,57438399;
874;3,57437269;
876;3,57436154;
878;3,57435053;
880;3,57433966;
882;3,57432893;
884;3,57431834;
886;3,57430788;
888;3,57429756;
890;3,57428737;
892;3,57427731;
894;3,57426737;
896;3,57425757;
898;3,57424789;
900;3,57423833;
902;3,57422889;
904;3,57421958;
906;3,57421038;
908;3,57420131;
910;3,57419235;
912;3,5741835;
914;3,57417476;
916;3,57416614;
918;3,57415763;
920;3,57414922;
922;3,57414093;
924;3,57413274;
926;3,57412465;
928;3,57411667;
930;3,57410879;
932;3,57410101;
934;3,57409333;
936;3,57408575;
938;3,57407826;
940;3,57407087;
942;3,57406358;
944;3,57405638;
946;3,57404927;
948;3,57404225;
950;3,57403532;
952;3,57402848;
954;3,57402172;
956;3,57401506;
958;3,57400848;
960;3,57400198;
962;3,57399556;
964;3,57398923;
966;3,57398298;
968;3,57397681;
970;3,57397071;
972;3,5739647;
974;3,57395876;
976;3,5739529;
978;3,57394711;
980;3,5739414;
982;3,57393576;
984;3,57393019;
986;3,57392469;
988;3,57391926;
990;3,57391391;
992;3,57390862;
994;3,5739034;
996;3,57389824;
998;3,57389315;
1000;3,57388813;
1002;3,57388317;
1004;3,57387827;
1006;3,57387344;
1008;3,57386867;
1010;3,57386395;
1012;3,5738593;
1014;3,57385471;
1016;3,57385018;
1018;3,5738457;
1020;3,57384129;
1022;3,57383693;
1024;3,57383262;
1026;3,57382837;
1028;3,57382417;
1030;3,57382003;
1032;3,57381594;
1034;3,5738119;
1036;3,57380792;
1038;3,57380398;
1040;3,5738001;
1042;3,57379626;
1044;3,57379248;
1046;3,57378874;
1048;3,57378505;
1050;3,57378141;
1052;3,57377781;
1054;3,57377426;
1056;3,57377076;
1058;3,5737673;
1060;3,57376388;
1062;3,57376051;
1064;3,57375718;
1066;3,57375389;
1068;3,57375065;
1070;3,57374745;
1072;3,57374428;
1074;3,57374116;
1076;3,57373808;
1078;3,57373504;
1080;3,57373204;
1082;3,57372907;
1084;3,57372614;
1086;3,57372325;
1088;3,5737204;
1090;3,57371758;
1092;3,5737148;
1094;3,57371206;
1096;3,57370935;
1098;3,57370667;
1100;3,57370403;
1102;3,57370143;
1104;3,57369885;
