Time,Stress
0,2.02609
0.1,2.02253
1,1.9905
1.1,1.98769,-0.028099999999999768,0.07488888888889361
1.2,1.98609,-0.01600000000000048,0.12099999999999304
1.3,1.98459,-0.014999999999998334,0.010000000000021441
1.6,1.9796,-0.009099999999999655,0.11300000000000757
1.8,1.97563,-0.009900000000000455,0.19899999999999393
2,1.97254,-0.0106000000000006,0.09699999999999181
2.3,1.96842,-0.010599999999998427,0.047000000000018895
2.6,1.96449,-0.007699999999999367,0.0810000000000087
2.8,1.96199,-0.007600000000000966,0.09799999999999802
3,1.95968,-0.010899999999998123,0.01300000000001854
3.2,1.95727,-0.009699999999999145,0.04700000000001917
3.3,1.95684,-0.0043000000000015404,0.05399999999997624
3.7,1.95212,-0.006299999999999079,0.07333333333333993
4,1.94908,-0.007900000000000677,0.033499999999997615
4.1,1.94838,-0.006999999999999254,0.009000000000014262
4.3,1.94634,-0.008099999999999804,0.04200000000000789
4.5,1.9445,-0.006600000000001073,0.05199999999998472
4.6,1.94386,-0.006399999999999762,0.002000000000013118
5,1.94072,-0.0009999999999998933,0.0913333333333322
5.2,1.93896,-0.0021000000000004236,0.13399999999998963
5.4,1.93744,-0.00559999999999891,0.04000000000001823
5.6,1.93559,-0.0073000000000012204,0.03899999999998932
5.7,1.93493,-0.0065999999999987935,0.0070000000000242325
5.9,1.93391,-0.0051000000000001,0.00749999999999346
6.1,1.93178,-0.005199999999998557,0.1090000000000265
6.2,1.93135,-0.004300000000001502,0.008999999999970502
6.6,1.92892,-0.004999999999999467,0.014333333333338328
7.2,1.9253,-0.003699999999999795,0.028000000000001402
8.3,1.91859,-0.0005999999999994813,0.060500000000004835
9.4,1.91329,-0.004699999999999721,0.0013000000000039154
9.6,1.9124,-0.0044499999999991924,0.0012500000000026466
9.9,1.91054,-0.00030000000000196645,0.08849999999998007
10.1,1.9089,-0.007399999999999655,0.015999999999993905
10.3,1.9081,-0.004000000000000648,0.016999999999994946
10.6,1.90727,-0.0027666666666662978,0.004111111111114516
10.8,1.90636,-0.0034999999999984544,0.021000000000026952
11,1.90474,-0.007699999999999402,0.008000000000008046
11.1,1.90401,-0.0073000000000012204,0.003999999999981827
11.4,1.90298,-0.003433333333333613,0.012888888888891994
11.7,1.90244,-0.0017999999999999561,0.0054444444444455425
12,1.90231,-0.0004333333333332106,0.004555555555555808
12.2,1.90036,-0.0012999999999996393,0.16899999999999815
12.7,1.89773,-0.0006000000000017124,0.058249999999982045
12.9,1.89766,-0.00035000000000007063,0.0012500000000082024
13.3,1.8954,-0.004999999999999378,0.008666666666672432
13.4,1.89512,-0.0028000000000005898,0.021999999999987963
13.5,1.89488,-0.0024000000000001884,0.004000000000004027
13.6,1.89481,-0.000699999999997927,0.017000000000022674
13.8,1.89386,-0.0014999999999987033,0.0650000000000257
14,1.89304,-0.0036999999999998276,0.008000000000008054
14.1,1.89269,-0.0035000000000007373,0.0019999999999909092
14.3,1.8916,-0.000700000000000135,0.09499999999999975
15,1.88963,-0.0018000000000006962,0.011833333333325733
15.7,1.88751,-0.0021000000000004422,0.010833333333326572
15.9,1.88616,-0.0026999999999999342,0.0809999999999964
16.1,1.88572,-0.002199999999999968,0.0024999999999998175
16.5,1.88498,-0.0018499999999999138,0.0008750000000001388
16.8,1.88363,-0.00420000000000081,0.004499999999996873
17,1.88274,-0.0034999999999984544,0.01900000000001483
17.3,1.88182,-0.0030666666666667656,0.0014444444444389592
17.6,1.88161,-0.0007000000000001433,0.007888888888888723
17.8,1.88035,-0.003999999999999502,0.04600000000001445
18.1,1.879,-0.00280000000000054,0.02549999999998965
18.4,1.87855,-0.001500000000000219,0.004333333333334444
18.6,1.87809,-0.002100000000000405,0.003999999999981682
18.9,1.87723,-0.00040000000000040855,0.03699999999999899
19.5,1.87535,-0.000899999999999222,0.02680000000000657
19.7,1.8746,-0.0021999999999989164,0.03100000000002489
20.2,1.8733,-0.0009000000000014744,0.021249999999983882
20.5,1.87311,-0.00063333333333304,0.0008888888888947791
20.9,1.87132,-0.0003999999999981881,0.054333333333357145
22.5,1.86726,-0.000700000000000135,0.019599999999999437
22.9,1.86614,-0.0026000000000015455,0.002666666666646563
23,1.866,-0.0013999999999980495,0.01200000000003479
23.4,1.86553,-0.0011750000000004853,0.0005624999999939124
23.7,1.86446,-0.0032999999999994848,0.004000000000002858
23.9,1.86396,-0.0024999999999997333,0.003999999999998771
24.1,1.86364,-0.0016000000000004672,0.004499999999996267
24.3,1.8629,-0.0017000000000000107,0.03999999999999648
24.5,1.86284,-0.000299999999999746,0.007000000000001349
25.1,1.86092,-0.0029000000000011937,0.003599999999988418
25.3,1.86043,-0.0024499999999994058,0.0022500000000089475
25.6,1.86017,-0.0008666666666664212,0.005277777777776603
26.2,1.85893,-0.0012999999999996625,0.009200000000006899
26.8,1.85673,-0.0026999999999998865,0.011600000000000716
27.1,1.85628,-0.0015000000000002013,0.003999999999998941
27.4,1.85618,-0.00033333333333329977,0.003888888888889709
27.6,1.85481,-0.006800000000000043,0.000999999999984315
27.9,1.85398,-0.002766666666667054,0.013444444444443423
28.3,1.85394,-0.00010000000000009948,0.006666666666667351
29.5,1.85116,-0.00029999999999974063,0.022000000000002604
31.4,1.84769,-0.0014999999999987565,0.0034444444444568893
31.5,1.84766,-0.00029999999999974063,0.011999999999989987
32.4,1.8456,-0.000500000000001048,0.020124999999990168
32.7,1.84557,-9.999999999991355E-05,0.001333333333337096
33.1,1.84463,-0.000899999999999222,0.019333333333341685
33.4,1.84442,-0.0007000000000001516,0.0006666666666635743
