Time;Stress;Time;Derivative;Second Derivative
14;1,89304;-0,0037;0,002120301;sim
14,1;1,89269;-0,0035;0,002119403;sim
14,2;1,89167;-0,0102;0,001607407;sim
14,3;1,8916;-0,0007;0,002294118;sim
14,4;1,89191;0,0031;0,002554745;sim
14,5;1,89143;-0,0048;0,001963768;sim
14,6;1,89067;-0,0076;0,001748201;sim
14,7;1,89085;0,0018;0,002407143;sim
14,8;1,88967;-0,0118;0,001425532;sim
14,9;1,88981;0,0014;0,00234507;sim
15;1,88963;-0,0018;0,002104895;sim
15,1;1,88836;-0,0127;0,001333333;sim
15,2;1,88917;0,0081;0,002758621;sim
15,3;1,88887;-0,003;0,001979452;sim
15,4;1,88739;-0,0148;0,001163265;sim
15,5;1,88809;0,007;0,002628378;sim
15,6;1,88772;-0,0037;0,001892617;sim
15,7;1,88751;-0,0021;0,001986667;sim
15,8;1,88643;-0,0108;0,001397351;sim
15,9;1,88616;-0,0027;0,001921053;sim
16;1,88627;0,0011;0,002156863;sim
16,1;1,88572;-0,0055;0,001714286;sim
16,2;1,88497;-0,0075;0,001574194;sim
16,3;1,88501;0,0004;0,002070513;sim
16,4;1,88376;-0,0125;0,001235669;sim
16,5;1,88498;0,0122;0,002791139;sim
16,6;1,88363;-0,0135;0,001157233;sim
16,7;1,88405;0,0042;0,00225625;sim
16,8;1,88363;-0,0042;0,001720497;sim
16,9;1,88309;-0,0054;0,001635802;sim
17;1,88274;-0,0035;0,001742331;sim
17,1;1,88299;0,0025;0,002097561;sim
17,2;1,88181;-0,0118;0,001218182;sim
17,3;1,88182;0,0001;0,001927711;sim
17,4;1,8806;-0,0122;0,001179641;sim
17,5;1,88118;0,0058;0,002244048;sim
17,6;1,88161;0,0043;0,002142012;sim
17,7;1,88075;-0,0086;0,001370588;sim
17,8;1,88035;-0,004;0,001631579;sim
17,9;1,87995;-0,004;0,001622093;sim
18;1,87928;-0,0067;0,001456647;sim
18,1;1,879;-0,0028;0,001672414;sim
18,2;1,87902;0,0002;0,001834286;sim
18,3;1,87832;-0,007;0,001414773;sim
18,4;1,87855;0,0023;0,001932203;sim
18,5;1,8783;-0,0025;0,001651685;sim
18,6;1,87809;-0,0021;0,001664804;sim
18,7;1,87786;-0,0023;0,001644444;sim
18,8;1,87727;-0,0059;0,001436464;sim
18,9;1,87723;-0,0004;0,001730769;sim
19;1,87634;-0,0089;0,001256831;sim
19,1;1,87698;0,0064;0,002081522;sim
19,2;1,87622;-0,0076;0,001313514;sim
19,3;1,87585;-0,0037;0,001516129;sim
19,4;1,87544;-0,0041;0,001486631;sim
19,5;1,87535;-0,0009;0,001648936;sim
19,6;1,87482;-0,0053;0,001407407;sim
19,7;1,8746;-0,0022;0,001563158;sim
19,8;1,87437;-0,0023;0,001549738;sim
19,9;1,87475;0,0038;0,001859375;sim
20;1,87331;-0,0144;0,000906736;sim
20,1;1,87339;0,0008;0,001685567;sim
20,2;1,8733;-0,0009;0,001589744;sim
20,3;1,87413;0,0083;0,00205102;sim
20,4;1,87267;-0,0146;0,000878173;sim
20,5;1,87311;0,0044;0,001833333;sim
20,6;1,87262;-0,0049;0,001356784;sim
20,7;1,87266;0,0004;0,001615;sim
20,8;1,87136;-0,013;0,000940299;sim
20,9;1,87132;-0,0004;0,001559406;sim
21;1,87071;-0,0061;0,001270936;sim
21,1;1,87143;0,0072;0,001916667;sim
21,2;1,8707;-0,0073;0,0012;sim
21,3;1,87045;-0,0025;0,001427184;sim
21,4;1,8696;-0,0085;0,001130435;sim
21,5;1,86984;0,0024;0,001649038;sim
21,6;1,87014;0,003;0,001669856;sim
21,7;1,86949;-0,0065;0,001209524;sim
21,8;1,86857;-0,0092;0,001075829;sim
21,9;1,86871;0,0014;0,001570755;sim
22;1,86892;0,0021;0,001596244;sim
22,1;1,86841;-0,0051;0,001252336;sim
22,2;1,86947;0,0106;0,001976744;sim
22,3;1,86839;-0,0108;0,000976852;sim
22,4;1,86733;-0,0106;0,000981567;sim
22,5;1,86726;-0,0007;0,001431193;sim
22,6;1,86737;0,0011;0,001506849;sim
22,7;1,86669;-0,0068;0,001140909;sim
22,8;1,8664;-0,0029;0,001312217;sim
22,9;1,86614;-0,0026;0,00131982;sim
23;1,866;-0,0014;0,001367713;sim
23,1;1,86617;0,0017;0,0015;sim
23,2;1,86569;-0,0048;0,001204444;sim
23,3;1,86527;-0,0042;0,001225664;sim
23,4;1,86553;0,0026;0,001519824;sim
23,5;1,86466;-0,0087;0,001017544;sim
23,6;1,86479;0,0013;0,001449782;sim
23,7;1,86446;-0,0033;0,001243478;sim
23,8;1,86464;0,0018;0,001458874;sim
23,9;1,86396;-0,0068;0,001081897;sim
24;1,86354;-0,0042;0,001188841;sim
