Time;Left Size/Right Size
0,1;4,851833096761985;5,0106352940962555
0,2;4,7054847102043444;5,0106352940962555
0,30000000000000004;4,570083364155838;5,0106352940962555
0,4;4,444923821714193;5,0106352940962555
0,5;4,328728876281842;5,0106352940962555
0,6;4,220703531129702;5,0106352940962555
0,7;4,119979784847843;5,0106352940962555
0,7999999999999999;4,0259402312929735;5,0106352940962555
0,8999999999999999;3,937914952912769;5,0106352940962555
0,9999999999999999;3,855342158270097;5,0106352940962555
1,0999999999999999;3,777743768627625;5,0106352940962555
1,2;3,7046587026917606;5,0106352940962555
1,3;3,6357113747089858;5,0106352940962555
1,4000000000000001;3,5705331867063346;5,0106352940962555
1,5000000000000002;3,5088125525824077;5,0106352940962555
1,6000000000000003;3,450257171939875;5,0106352940962555
1,7000000000000004;3,3946181110628495;5,0106352940962555
1,8000000000000005;3,341659955426;5,0106352940962555
1,9000000000000006;3,2911734471819503;5,0106352940962555
