Time;Left Size/Right Size
0,1;2,310268665148411;2,4079456086518722
0,2;2,217424418306128;2,4079456086518722
0,30000000000000004;2,130302631806539;2,4079456086518722
0,4;2,047973307925892;2,4079456086518722
0,5;1,9703283726173777;2,4079456086518722
0,6;1,8968722542179763;2,4079456086518722
0,7;1,8274346884814805;2,4079456086518722
0,7999999999999999;1,7616525264142116;2,4079456086518722
0,8999999999999999;1,6993730982852373;2,4079456086518722
0,9999999999999999;1,6402764928467166;2,4079456086518722
1,0999999999999999;1,5841668205500041;2,4079456086518722
1,2;1,5308840377500847;2,4079456086518722
1,3;1,4802170802939572;2,4079456086518722
1,4000000000000001;1,432022402859879;2,4079456086518722
1,5000000000000002;1,386124463407762;2,4079456086518722
1,6000000000000003;1,342396050729405;2,4079456086518722
1,7000000000000004;1,3006896917640716;2,4079456086518722
1,8000000000000005;1,2608978802953648;2,4079456086518722
1,9000000000000006;1,2228899056611808;2,4079456086518722
