Time;Numerical;Experimental
496;1,38626038;
498;1,386229;
500;1,38619806;
502;1,38616757;
504;1,38613751;
506;1,38610788;
508;1,38607867;
510;1,38604988;
512;1,3860215;
514;1,38599352;
516;1,38596594;
518;1,38593876;
520;1,38591196;
522;1,38588555;
524;1,38585951;
526;1,38583384;
528;1,38580854;
530;1,3857836;
532;1,38575902;
534;1,38573479;
536;1,3857109;
538;1,38568735;
540;1,38566414;
542;1,38564126;
544;1,38561871;
546;1,38559648;
548;1,38557456;
550;1,38555296;
552;1,38553167;
554;1,38551067;
556;1,38548998;
558;1,38546959;
560;1,38544948;
562;1,38542967;
564;1,38541013;
566;1,38539087;
568;1,38537189;
570;1,38535318;
572;1,38533473;
574;1,38531655;
576;1,38529863;
578;1,38528096;
580;1,38526355;
582;1,38524638;
584;1,38522946;
586;1,38521278;
588;1,38519634;
590;1,38518013;
592;1,38516416;
594;1,38514841;
596;1,38513288;
598;1,38511758;
600;1,3851025;
602;1,38508763;
604;1,38507297;
606;1,38505852;
608;1,38504428;
610;1,38503024;
612;1,3850164;
614;1,38500276;
616;1,38498932;
618;1,38497606;
620;1,384963;
622;1,38495012;
624;1,38493742;
626;1,38492491;
628;1,38491257;
630;1,38490041;
632;1,38488842;
634;1,38487661;
636;1,38486496;
638;1,38485348;
640;1,38484216;
642;1,38483101;
644;1,38482001;
646;1,38480917;
648;1,38479848;
650;1,38478795;
652;1,38477757;
654;1,38476733;
656;1,38475724;
658;1,3847473;
660;1,3847375;
662;1,38472783;
664;1,38471831;
666;1,38470892;
668;1,38469966;
670;1,38469054;
672;1,38468155;
674;1,38467268;
676;1,38466394;
678;1,38465533;
680;1,38464684;
682;1,38463847;
684;1,38463022;
686;1,38462208;
688;1,38461407;
690;1,38460616;
692;1,38459838;
694;1,3845907;
696;1,38458313;
698;1,38457567;
700;1,38456831;
702;1,38456106;
704;1,38455391;
706;1,38454687;
708;1,38453993;
710;1,38453308;
712;1,38452633;
714;1,38451968;
716;1,38451312;
718;1,38450666;
720;1,38450029;
722;1,38449401;
724;1,38448782;
726;1,38448172;
728;1,3844757;
730;1,38446978;
732;1,38446393;
734;1,38445817;
736;1,38445249;
738;1,38444689;
740;1,38444137;
742;1,38443593;
744;1,38443057;
746;1,38442529;
748;1,38442008;
750;1,38441494;
752;1,38440988;
754;1,38440489;
756;1,38439997;
758;1,38439512;
760;1,38439034;
762;1,38438563;
764;1,38438098;
766;1,38437641;
768;1,38437189;
770;1,38436744;
772;1,38436306;
774;1,38435874;
776;1,38435448;
778;1,38435028;
780;1,38434614;
782;1,38434205;
784;1,38433803;
786;1,38433407;
788;1,38433016;
790;1,3843263;
792;1,38432251;
794;1,38431876;
796;1,38431507;
798;1,38431143;
800;1,38430785;
802;1,38430431;
804;1,38430083;
806;1,38429739;
808;1,38429401;
810;1,38429067;
812;1,38428738;
814;1,38428414;
816;1,38428094;
818;1,38427779;
820;1,38427468;
822;1,38427162;
824;1,3842686;
826;1,38426563;
828;1,38426269;
830;1,3842598;
832;1,38425695;
834;1,38425414;
836;1,38425137;
838;1,38424864;
840;1,38424595;
842;1,3842433;
844;1,38424069;
846;1,38423811;
848;1,38423557;
850;1,38423307;
852;1,3842306;
854;1,38422816;
856;1,38422577;
858;1,3842234;
860;1,38422107;
862;1,38421877;
864;1,38421651;
866;1,38421428;
868;1,38421208;
870;1,38420991;
872;1,38420777;
874;1,38420566;
876;1,38420358;
878;1,38420154;
880;1,38419952;
882;1,38419753;
884;1,38419557;
886;1,38419363;
888;1,38419173;
890;1,38418985;
892;1,384188;
894;1,38418617;
896;1,38418437;
898;1,3841826;
900;1,38418085;
902;1,38417912;
904;1,38417742;
906;1,38417575;
908;1,3841741;
910;1,38417247;
912;1,38417087;
914;1,38416929;
916;1,38416773;
918;1,38416619;
920;1,38416468;
922;1,38416318;
924;1,38416171;
926;1,38416026;
928;1,38415883;
930;1,38415742;
932;1,38415603;
934;1,38415466;
936;1,38415331;
938;1,38415198;
940;1,38415067;
942;1,38414938;
944;1,3841481;
946;1,38414684;
948;1,38414561;
950;1,38414438;
952;1,38414318;
954;1,38414199;
956;1,38414083;
958;1,38413967;
960;1,38413854;
962;1,38413742;
964;1,38413631;
966;1,38413522;
968;1,38413415;
970;1,38413309;
972;1,38413205;
974;1,38413102;
976;1,38413001;
978;1,38412901;
980;1,38412803;
982;1,38412706;
984;1,3841261;
986;1,38412516;
988;1,38412423;
990;1,38412331;
992;1,38412241;
994;1,38412152;
996;1,38412064;
998;1,38411978;
1000;1,38411892;
1002;1,38411808;
1004;1,38411726;
1006;1,38411644;
1008;1,38411563;
1010;1,38411484;
1012;1,38411406;
1014;1,38411329;
1016;1,38411253;
1018;1,38411178;
1020;1,38411104;
1022;1,38411031;
1024;1,38410959;
1026;1,38410889;
1028;1,38410819;
1030;1,3841075;
1032;1,38410682;
1034;1,38410616;
1036;1,3841055;
1038;1,38410485;
1040;1,38410421;
1042;1,38410358;
1044;1,38410296;
1046;1,38410234;
1048;1,38410174;
1050;1,38410115;
1052;1,38410056;
1054;1,38409998;
1056;1,38409941;
1058;1,38409885;
1060;1,38409829;
1062;1,38409775;
1064;1,38409721;
1066;1,38409668;
1068;1,38409616;
1070;1,38409564;
1072;1,38409513;
1074;1,38409463;
1076;1,38409414;
1078;1,38409365;
1080;1,38409317;
1082;1,3840927;
1084;1,38409223;
1086;1,38409177;
1088;1,38409132;
1090;1,38409087;
1092;1,38409043;
1094;1,38409;
1096;1,38408957;
1098;1,38408915;
1100;1,38408873;
1102;1,38408832;
1104;1,38408792;
1106;1,38408752;
1108;1,38408713;
1110;1,38408674;
1112;1,38408636;
1114;1,38408598;
1116;1,38408561;
1118;1,38408525;
1120;1,38408489;
1122;1,38408453;
1124;1,38408418;
1126;1,38408384;
1128;1,3840835;
1130;1,38408316;
1132;1,38408283;
1134;1,38408251;
1136;1,38408218;
1138;1,38408187;
1140;1,38408156;
1142;1,38408125;
1144;1,38408095;
1146;1,38408065;
1148;1,38408035;
1150;1,38408006;
1152;1,38407978;
1154;1,38407949;
1156;1,38407922;
1158;1,38407894;
1160;1,38407867;
1162;1,38407841;
1164;1,38407814;
1166;1,38407788;
1168;1,38407763;
1170;1,38407738;
1172;1,38407713;
1174;1,38407689;
1176;1,38407664;
1178;1,38407641;
1180;1,38407617;
