;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
12.2;2.04469;2.095853487;1.70194;1.717350485
12.3;2.04353;2.094738625;1.70223;1.717004454
12.4;2.04299;2.09362891;1.70148;1.716660208
12.5;2.04205;2.092524315;1.70078;1.716317718
12.6;2.04117;2.091424814;1.70072;1.715976957
12.7;2.04057;2.090330382;1.70051;1.715637897
12.8;2.03986;2.089240993;1.70065;1.715300512
12.9;2.0378;2.08815662;1.69936;1.714964778
13;2.03806;2.087077238;1.69965;1.714630671
13.1;2.03648;2.086002822;1.69889;1.714298167
13.2;2.03598;2.084933346;1.69839;1.713967242
13.3;2.03493;2.083868786;1.69811;1.713637877
13.4;2.03424;2.082809115;1.69787;1.713310048
13.5;2.03273;2.08175431;1.6978;1.712983736
13.6;2.03255;2.080704345;1.697;1.712658921
13.7;2.03176;2.079659196;1.69685;1.712335584
13.8;2.03083;2.078618837;1.6964;1.712013705
13.9;2.02987;2.077583246;1.69603;1.711693267
14;2.0289;2.076552397;1.69568;1.711374252
14.1;2.02811;2.075526266;1.69466;1.711056643
14.2;2.02663;2.074504829;1.69459;1.710740423
14.3;2.02474;2.073488062;1.6949;1.710425577
14.4;2.02595;2.072475942;1.69442;1.710112089
14.5;2.02442;2.071468444;1.69366;1.709799944
14.6;2.02291;2.070465546;1.69384;1.709489127
14.7;2.02262;2.069467223;1.69266;1.709179623
14.8;2.02175;2.068473452;1.6928;1.70887142
14.9;2.02013;2.067484211;1.69262;1.708564502
15;2.02005;2.066499475;1.69135;1.708258858
15.1;2.01924;2.065519223;1.69216;1.707954475
15.2;2.01776;2.064543431;1.69186;1.70765134
15.3;2.01705;2.063572076;1.69038;1.70734944
15.4;2.01669;2.062605137;1.69108;1.707048765
15.5;2.01602;2.061642589;1.69071;1.706749302
15.6;2.01423;2.060684412;1.6905;1.70645104
15.7;2.01432;2.059730582;1.68942;1.706153969
15.8;2.01308;2.058781078;1.68915;1.705858077
15.9;2.01213;2.057835877;1.68926;1.705563355
16;2.01093;2.056894958;1.68871;1.705269792
16.1;2.01068;2.055958298;1.68796;1.704977378
16.2;2.0091;2.055025877;1.688;1.704686104
16.3;2.00873;2.054097672;1.68675;1.70439596
16.4;2.00875;2.053173662;1.68797;1.704106936
16.5;2.0071;2.052253826;1.68662;1.703819024
16.6;2.0063;2.051338142;1.68704;1.703532215
16.7;2.0068;2.050426589;1.68662;1.7032465
16.8;2.00468;2.049519146;1.68608;1.702961871
16.9;2.00389;2.048615792;1.68573;1.702678319
17;2.00425;2.047716507;1.68598;1.702395836
17.1;2.00234;2.046821269;1.6848;1.702114414
17.2;2.0015;2.045930058;1.68481;1.701834046
17.3;2.00116;2.045042854;1.68359;1.701554723
17.4;2.00024;2.044159636;1.68417;1.701276439
17.5;1.9992;2.043280384;1.6846;1.700999185
