;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
153.9;;1.762594799;1.53824;1.571419473
154;;1.762513498;1.53852;1.571370419
154.1;;1.762432222;1.53895;1.571321389
154.2;;1.762350971;1.53891;1.571272382
154.3;;1.762269746;1.53785;1.571223399
154.4;;1.762188545;1.53863;1.57117444
154.5;;1.76210737;1.53798;1.571125505
154.6;;1.76202622;1.53769;1.571076593
154.7;;1.761945095;1.53889;1.571027705
154.8;;1.761863995;1.5386;1.570978841
154.9;;1.76178292;1.53787;1.570930001
155;;1.76170187;1.53862;1.570881184
155.1;;1.761620846;1.53837;1.57083239
155.2;;1.761539846;1.53828;1.570783621
155.3;;1.761458871;1.53784;1.570734875
155.4;;1.761377921;1.538;1.570686152
155.5;;1.761296996;1.53792;1.570637454
155.6;;1.761216095;1.538;1.570588778
155.7;;1.76113522;1.53752;1.570540127
155.8;;1.761054369;1.53757;1.570491498
155.9;;1.760973544;1.5378;1.570442894
156;;1.760892743;1.53667;1.570394313
156.1;;1.760811967;1.53742;1.570345755
156.2;;1.760731215;1.53767;1.570297221
156.3;;1.760650489;1.53796;1.57024871
156.4;;1.760569787;1.53736;1.570200223
156.5;;1.760489109;1.53747;1.570151759
156.6;;1.760408457;1.53765;1.570103318
156.7;;1.760327829;1.53748;1.570054901
156.8;;1.760247225;1.53697;1.570006508
156.9;;1.760166647;1.5379;1.569958138
157;;1.760086092;1.53787;1.569909791
157.1;;1.760005563;1.53692;1.569861467
157.2;;1.759925058;1.53714;1.569813167
157.3;;1.759844577;1.53722;1.56976489
157.4;;1.759764121;1.53598;1.569716636
157.5;;1.75968369;1.5363;1.569668406
157.6;;1.759603282;1.53695;1.569620199
157.7;;1.7595229;1.53714;1.569572015
157.8;;1.759442541;1.53644;1.569523855
157.9;;1.759362207;1.53712;1.569475717
158;;1.759281898;1.53604;1.569427603
158.1;;1.759201613;1.53619;1.569379512
158.2;;1.759121352;1.53656;1.569331445
158.3;;1.759041115;1.53619;1.5692834
158.4;;1.758960903;1.53641;1.569235379
158.5;;1.758880715;1.53712;1.569187381
158.6;;1.758800551;1.53706;1.569139405
158.7;;1.758720412;1.53667;1.569091453
158.8;;1.758640296;1.53608;1.569043525
158.9;;1.758560205;1.53599;1.568995619
159;;1.758480138;1.5358;1.568947736
159.1;;1.758400096;1.53614;1.568899876
159.2;;1.758320077;1.53586;1.56885204
159.3;;1.758240082;1.53644;1.568804226
159.4;;1.758160112;1.53626;1.568756435
159.5;;1.758080165;1.53575;1.568708668
159.6;;1.758000243;1.53598;1.568660923
159.7;;1.757920345;1.53566;1.568613202
159.8;;1.75784047;1.5357;1.568565503
159.9;;1.75776062;1.5358;1.568517827
160;;1.757680794;1.5354;1.568470174
160.1;;1.757600991;1.53589;1.568422544
160.2;;1.757521213;1.53519;1.568374937
160.3;;1.757441458;1.53536;1.568327353
160.4;;1.757361728;1.53539;1.568279792
160.5;;1.757282021;1.53557;1.568232254
160.6;;1.757202338;1.53482;1.568184738
160.7;;1.757122679;1.53573;1.568137245
160.8;;1.757043044;1.53514;1.568089776
160.9;;1.756963432;1.53432;1.568042329
161;;1.756883845;1.53593;1.567994904
161.1;;1.756804281;1.53557;1.567947503
161.2;;1.756724741;1.53562;1.567900124
161.3;;1.756645224;1.53563;1.567852768
161.4;;1.756565731;1.53503;1.567805435
161.5;;1.756486262;1.5355;1.567758124
161.6;;1.756406817;1.53502;1.567710836
161.7;;1.756327396;1.53502;1.567663571
161.8;;1.756247998;1.53505;1.567616329
161.9;;1.756168623;1.53487;1.567569109
162;;1.756089272;1.5348;1.567521912
162.1;;1.756009945;1.53458;1.567474738
162.2;;1.755930642;1.53455;1.567427586
162.3;;1.755851362;1.53499;1.567380456
162.4;;1.755772105;1.53457;1.56733335
162.5;;1.755692872;1.53495;1.567286266
162.6;;1.755613663;1.53416;1.567239204
162.7;;1.755534477;1.53458;1.567192165
162.8;;1.755455314;1.5346;1.567145149
162.9;;1.755376175;1.53485;1.567098155
163;;1.755297059;1.53464;1.567051184
163.1;;1.755217967;1.53441;1.567004235
163.2;;1.755138898;1.53473;1.566957309
163.3;;1.755059853;1.53366;1.566910405
163.4;;1.754980831;1.53425;1.566863524
163.5;;1.754901832;1.53411;1.566816665
163.6;;1.754822856;1.53486;1.566769828
163.7;;1.754743904;1.53392;1.566723014
163.8;;1.754664976;1.53389;1.566676223
163.9;;1.75458607;1.53384;1.566629453
164;;1.754507188;1.53355;1.566582707
164.1;;1.754428329;1.53385;1.566535982
164.2;;1.754349493;1.53434;1.56648928
164.3;;1.75427068;1.53344;1.5664426
164.4;;1.754191891;1.53292;1.566395943
164.5;;1.754113125;1.53345;1.566349308
164.6;;1.754034382;1.53378;1.566302695
164.7;;1.753955662;1.53395;1.566256105
164.8;;1.753876965;1.53357;1.566209537
164.9;;1.753798292;1.53316;1.566162991
165;;1.753719641;1.53299;1.566116467
165.1;;1.753641014;1.53331;1.566069966
165.2;;1.753562409;1.53302;1.566023486
165.3;;1.753483828;1.53288;1.56597703
165.4;;1.75340527;1.53353;1.565930595
165.5;;1.753326735;1.53239;1.565884182
165.6;;1.753248222;1.53276;1.565837792
165.7;;1.753169733;1.53386;1.565791424
165.8;;1.753091267;1.53274;1.565745078
165.9;;1.753012824;1.53314;1.565698754
166;;1.752934403;1.53247;1.565652452
166.1;;1.752856006;1.5328;1.565606172
166.2;;1.752777631;1.53294;1.565559915
166.3;;1.75269928;1.53245;1.565513679
166.4;;1.752620951;1.53182;1.565467466
166.5;;1.752542645;1.53249;1.565421275
166.6;;1.752464362;1.53239;1.565375105
166.7;;1.752386102;1.53326;1.565328958
166.8;;1.752307865;1.53195;1.565282833
166.9;;1.75222965;1.53227;1.56523673
167;;1.752151459;1.53307;1.565190649
167.1;;1.75207329;1.53313;1.56514459
167.2;;1.751995144;1.53221;1.565098552
167.3;;1.75191702;1.53285;1.565052537
167.4;;1.75183892;1.53219;1.565006544
167.5;;1.751760842;1.53219;1.564960573
167.6;;1.751682786;1.53276;1.564914623
167.7;;1.751604754;1.53156;1.564868696
167.8;;1.751526744;1.53211;1.56482279
167.9;;1.751448757;1.53226;1.564776907
168;;1.751370792;1.53164;1.564731045
168.1;;1.75129285;1.53116;1.564685205
168.2;;1.751214931;1.53185;1.564639387
168.3;;1.751137034;1.53071;1.56459359
168.4;;1.75105916;1.53219;1.564547816
168.5;;1.750981308;1.53239;1.564502063
168.6;;1.750903479;1.53155;1.564456333
168.7;;1.750825673;1.53145;1.564410624
168.8;;1.750747889;1.53258;1.564364936
168.9;;1.750670128;1.53139;1.564319271
169;;1.750592389;1.5318;1.564273627
169.1;;1.750514672;1.53189;1.564228005
169.2;;1.750436978;1.53108;1.564182405
169.3;;1.750359307;1.53154;1.564136827
169.4;;1.750281658;1.53182;1.56409127
169.5;;1.750204031;1.53096;1.564045735
169.6;;1.750126427;1.53091;1.564000221
169.7;;1.750048846;1.53128;1.56395473
169.8;;1.749971286;1.53219;1.56390926
169.9;;1.749893749;1.53069;1.563863811
170;;1.749816235;1.53083;1.563818384
170.1;;1.749738743;1.53104;1.563772979
170.2;;1.749661273;1.53115;1.563727596
170.3;;1.749583825;1.53084;1.563682234
170.4;;1.7495064;1.53077;1.563636893
170.5;;1.749428997;1.53071;1.563591575
170.6;;1.749351616;1.53045;1.563546277
170.7;;1.749274258;1.53073;1.563501002
170.8;;1.749196922;1.53083;1.563455747
170.9;;1.749119608;1.53035;1.563410515
171;;1.749042316;1.53057;1.563365304
171.1;;1.748965047;1.53093;1.563320114
171.2;;1.7488878;1.52989;1.563274946
171.3;;1.748810575;1.53025;1.563229799
171.4;;1.748733372;1.53027;1.563184674
171.5;;1.748656191;1.52978;1.563139571
171.6;;1.748579033;1.53033;1.563094488
171.7;;1.748501896;1.53087;1.563049427
171.8;;1.748424782;1.53102;1.563004388
171.9;;1.74834769;1.5297;1.56295937
172;;1.74827062;1.53033;1.562914373
172.1;;1.748193572;1.53007;1.562869398
172.2;;1.748116546;1.52978;1.562824444
172.3;;1.748039542;1.53;1.562779512
172.4;;1.747962561;1.52915;1.562734601
172.5;;1.747885601;1.53003;1.562689711
172.6;;1.747808663;1.52982;1.562644842
172.7;;1.747731748;1.52965;1.562599995
172.8;;1.747654854;1.52936;1.562555169
172.9;;1.747577983;1.52978;1.562510365
173;;1.747501133;1.529;1.562465581
173.1;;1.747424305;1.52968;1.562420819
173.2;;1.7473475;1.52912;1.562376079
173.3;;1.747270716;1.5296;1.562331359
173.4;;1.747193954;1.53012;1.562286661
173.5;;1.747117214;1.5296;1.562241984
173.6;;1.747040496;1.52856;1.562197328
173.7;;1.7469638;1.5292;1.562152693
173.8;;1.746887126;1.52841;1.56210808
173.9;;1.746810473;1.52902;1.562063488
174;;1.746733843;1.5295;1.562018916
174.1;;1.746657234;1.52868;1.561974366
174.2;;1.746580647;1.52918;1.561929838
174.3;;1.746504082;1.52907;1.56188533
174.4;;1.746427539;1.5291;1.561840843
174.5;;1.746351018;1.52888;1.561796378
174.6;;1.746274518;1.5284;1.561751933
174.7;;1.74619804;1.52875;1.56170751
174.8;;1.746121584;1.52843;1.561663108
174.9;;1.74604515;1.52907;1.561618727
175;;1.745968737;1.52795;1.561574366
175.1;;1.745892346;1.52892;1.561530027
175.2;;1.745815977;1.52799;1.561485709
175.3;;1.74573963;1.52893;1.561441412
175.4;;1.745663304;1.52808;1.561397136
175.5;;1.745587;1.52842;1.561352881
175.6;;1.745510718;1.52809;1.561308647
175.7;;1.745434457;1.52827;1.561264434
175.8;;1.745358218;1.52797;1.561220242
175.9;;1.745282;1.52792;1.561176071
176;;1.745205804;1.52758;1.56113192
176.1;;1.74512963;1.52748;1.561087791
176.2;;1.745053478;1.52788;1.561043683
176.3;;1.744977347;1.52788;1.560999595
176.4;;1.744901237;1.52832;1.560955528
176.5;;1.744825149;1.52771;1.560911483
176.6;;1.744749083;1.5277;1.560867458
176.7;;1.744673038;1.52801;1.560823454
176.8;;1.744597015;1.52764;1.560779471
176.9;;1.744521013;1.52796;1.560735508
177;;1.744445033;1.528;1.560691567
177.1;;1.744369074;1.52783;1.560647646
177.2;;1.744293137;1.52758;1.560603746
177.3;;1.744217222;1.52763;1.560559867
177.4;;1.744141327;1.5268;1.560516009
177.5;;1.744065455;1.5283;1.560472171
177.6;;1.743989603;1.52678;1.560428354
177.7;;1.743913773;1.52706;1.560384558
177.8;;1.743837965;1.52734;1.560340783
177.9;;1.743762178;1.52725;1.560297029
178;;1.743686412;1.52665;1.560253295
178.1;;1.743610668;1.52689;1.560209581
178.2;;1.743534945;1.52611;1.560165889
178.3;;1.743459243;1.52694;1.560122217
178.4;;1.743383563;1.5275;1.560078566
178.5;;1.743307904;1.52607;1.560034936
178.6;;1.743232267;1.5267;1.559991326
178.7;;1.743156651;1.52677;1.559947737
178.8;;1.743081056;1.52652;1.559904168
178.9;;1.743005482;1.52701;1.55986062
179;;1.74292993;1.5263;1.559817093
179.1;;1.742854399;1.52652;1.559773586
179.2;;1.74277889;1.52647;1.5597301
179.3;;1.742703401;1.52717;1.559686634
179.4;;1.742627934;1.52578;1.559643189
179.5;;1.742552488;1.52698;1.559599765
179.6;;1.742477064;1.5265;1.559556361
179.7;;1.74240166;1.52656;1.559512977
179.8;;1.742326278;1.52655;1.559469615
179.9;;1.742250917;1.52599;1.559426272
180;;1.742175577;1.52669;1.55938295
180.1;;1.742100259;1.52624;1.559339649
180.2;;1.742024961;1.52557;1.559296368
180.3;;1.741949685;1.52599;1.559253108
180.4;;1.74187443;1.52618;1.559209868
180.5;;1.741799196;1.52614;1.559166648
180.6;;1.741723983;1.52559;1.559123449
180.7;;1.741648791;1.52613;1.55908027
180.8;;1.741573621;1.52613;1.559037112
180.9;;1.741498471;1.52594;1.558993974
181;;1.741423343;1.52507;1.558950856
181.1;;1.741348235;1.52563;1.558907759
181.2;;1.741273149;1.52537;1.558864683
181.3;;1.741198084;1.52575;1.558821626
181.4;;1.74112304;1.52615;1.55877859
181.5;;1.741048017;1.52549;1.558735574
181.6;;1.740973014;1.52519;1.558692579
181.7;;1.740898033;1.52527;1.558649604
181.8;;1.740823073;1.52609;1.558606649
181.9;;1.740748134;1.52587;1.558563715
182;;1.740673216;1.52523;1.5585208
182.1;;1.740598319;1.52571;1.558477907
182.2;;1.740523443;1.52459;1.558435033
182.3;;1.740448588;1.52519;1.558392179
182.4;;1.740373754;1.52562;1.558349346
182.5;;1.740298941;1.52535;1.558306533
182.6;;1.740224149;1.52431;1.558263741
182.7;;1.740149377;1.52512;1.558220968
182.8;;1.740074627;1.52566;1.558178216
182.9;;1.739999897;1.52533;1.558135484
183;;1.739925189;1.52532;1.558092772
183.1;;1.739850501;1.52417;1.55805008
183.2;;1.739775834;1.52507;1.558007408
183.3;;1.739701188;1.52502;1.557964757
183.4;;1.739626563;1.52396;1.557922126
183.5;;1.739551959;1.52483;1.557879514
183.6;;1.739477375;1.52466;1.557836923
183.7;;1.739402813;1.52492;1.557794352
183.8;;1.739328271;1.52485;1.557751801
183.9;;1.73925375;1.52522;1.557709271
184;;1.73917925;1.52429;1.55766676
184.1;;1.739104771;1.52444;1.557624269
184.2;;1.739030312;1.52394;1.557581799
184.3;;1.738955874;1.52458;1.557539348
184.4;;1.738881457;1.52412;1.557496918
184.5;;1.738807061;1.52521;1.557454507
184.6;;1.738732686;1.52444;1.557412117
184.7;;1.738658331;1.52477;1.557369746
184.8;;1.738583997;1.5241;1.557327396
184.9;;1.738509684;1.52306;1.557285065
185;;1.738435391;1.524;1.557242754
185.1;;1.738361119;1.52375;1.557200464
185.2;;1.738286868;1.52523;1.557158193
185.3;;1.738212637;1.52382;1.557115943
185.4;;1.738138428;1.5241;1.557073712
185.5;;1.738064238;1.52301;1.557031501
185.6;;1.73799007;1.52432;1.55698931
185.7;;1.737915922;1.52319;1.556947139
185.8;;1.737841795;1.52349;1.556904988
185.9;;1.737767688;1.52401;1.556862857
186;;1.737693602;1.52391;1.556820745
186.1;;1.737619537;1.52357;1.556778654
186.2;;1.737545492;1.52387;1.556736582
186.3;;1.737471468;1.52406;1.55669453
186.4;;1.737397465;1.52354;1.556652498
186.5;;1.737323482;1.52385;1.556610486
186.6;;1.737249519;1.52321;1.556568493
186.7;;1.737175578;1.52374;1.556526521
186.8;;1.737101656;1.52285;1.556484568
186.9;;1.737027756;1.52287;1.556442635
187;;1.736953875;1.52269;1.556400722
187.1;;1.736880016;1.52271;1.556358828
187.2;;1.736806177;1.52254;1.556316954
187.3;;1.736732358;1.52324;1.5562751
187.4;;1.73665856;1.52261;1.556233266
187.5;;1.736584782;1.52284;1.556191452
187.6;;1.736511025;1.52204;1.556149657
187.7;;1.736437288;1.52219;1.556107881
187.8;;1.736363572;1.52232;1.556066126
187.9;;1.736289877;1.52331;1.55602439
188;;1.736216201;1.52298;1.555982674
188.1;;1.736142546;1.52277;1.555940978
188.2;;1.736068912;1.52247;1.555899301
188.3;;1.735995298;1.52287;1.555857644
188.4;;1.735921704;1.52263;1.555816006
188.5;;1.735848131;1.52229;1.555774388
188.6;;1.735774579;1.52273;1.55573279
188.7;;1.735701046;1.52232;1.555691211
188.8;;1.735627534;1.52195;1.555649652
188.9;;1.735554043;1.52232;1.555608112
189;;1.735480571;1.52219;1.555566592
189.1;;1.73540712;1.52209;1.555525092
189.2;;1.73533369;1.52184;1.555483611
189.3;;1.73526028;1.5211;1.555442149
189.4;;1.73518689;1.52225;1.555400708
189.5;;1.73511352;1.52223;1.555359285
189.6;;1.735040171;1.52226;1.555317883
189.7;;1.734966842;1.52137;1.555276499
189.8;;1.734893534;1.52175;1.555235135
189.9;;1.734820245;1.5224;1.555193791
190;;1.734746977;1.52192;1.555152466
190.1;;1.734673729;1.52193;1.555111161
190.2;;1.734600502;1.52161;1.555069875
190.3;;1.734527295;1.52151;1.555028608
190.4;;1.734454108;1.52177;1.554987361
190.5;;1.734380941;1.52154;1.554946134
190.6;;1.734307795;1.52192;1.554904925
190.7;;1.734234668;1.52164;1.554863736
190.8;;1.734161562;1.52192;1.554822567
190.9;;1.734088476;1.52096;1.554781417
191;;1.734015411;1.52223;1.554740286
191.1;;1.733942365;1.52146;1.554699175
191.2;;1.73386934;1.52133;1.554658083
191.3;;1.733796335;1.52244;1.55461701
191.4;;1.73372335;1.52021;1.554575957
191.5;;1.733650385;1.52153;1.554534923
191.6;;1.733577441;1.52083;1.554493908
191.7;;1.733504516;1.52144;1.554452913
191.8;;1.733431612;1.52068;1.554411937
191.9;;1.733358728;1.52112;1.55437098
192;;1.733285864;1.52091;1.554330042
192.1;;1.73321302;1.52118;1.554289124
192.2;;1.733140196;1.52086;1.554248225
192.3;;1.733067392;1.52102;1.554207345
192.4;;1.732994609;1.52058;1.554166485
192.5;;1.732921845;1.52091;1.554125644
192.6;;1.732849102;1.52013;1.554084822
192.7;;1.732776379;1.52023;1.554044019
192.8;;1.732703675;1.52086;1.554003235
192.9;;1.732630992;1.52053;1.553962471
193;;1.732558329;1.52043;1.553921725
193.1;;1.732485686;1.52038;1.553880999
193.2;;1.732413062;1.52044;1.553840292
193.3;;1.732340459;1.52091;1.553799604
193.4;;1.732267876;1.52114;1.553758936
193.5;;1.732195313;1.52032;1.553718286
193.6;;1.73212277;1.52043;1.553677656
193.7;;1.732050247;1.5204;1.553637044
193.8;;1.731977744;1.52012;1.553596452
193.9;;1.731905261;1.52061;1.553555879
194;;1.731832797;1.51992;1.553515325
194.1;;1.731760354;1.51998;1.55347479
194.2;;1.731687931;1.52074;1.553434274
194.3;;1.731615528;1.51989;1.553393777
194.4;;1.731543144;1.52045;1.553353299
194.5;;1.731470781;1.51971;1.553312841
194.6;;1.731398437;1.52015;1.553272401
194.7;;1.731326114;1.51936;1.55323198
194.8;;1.73125381;1.51984;1.553191578
194.9;;1.731181526;1.51984;1.553151196
195;;1.731109262;1.52003;1.553110832
195.1;;1.731037018;1.51992;1.553070487
195.2;;1.730964794;1.52009;1.553030161
195.3;;1.73089259;1.51944;1.552989855
195.4;;1.730820406;1.5192;1.552949567
195.5;;1.730748241;1.51917;1.552909298
195.6;;1.730676096;1.51871;1.552869048
195.7;;1.730603972;1.51973;1.552828817
195.8;;1.730531867;1.5196;1.552788605
195.9;;1.730459781;1.51963;1.552748411
196;;1.730387716;1.5189;1.552708237
196.1;;1.730315671;1.51955;1.552668081
196.2;;1.730243645;1.51925;1.552627945
196.3;;1.730171639;1.5202;1.552587827
196.4;;1.730099653;1.51945;1.552547728
196.5;;1.730027686;1.51932;1.552507648
196.6;;1.72995574;1.51859;1.552467587
196.7;;1.729883813;1.51889;1.552427545
196.8;;1.729811906;1.51856;1.552387521
196.9;;1.729740019;1.51869;1.552347516
197;;1.729668151;1.51947;1.552307531
197.1;;1.729596303;1.51807;1.552267563
197.2;;1.729524475;1.51805;1.552227615
197.3;;1.729452667;1.51909;1.552187685
197.4;;1.729380878;1.51861;1.552147775
197.5;;1.72930911;1.51927;1.552107883
197.6;;1.72923736;1.51903;1.552068009
197.7;;1.729165631;1.51878;1.552028155
197.8;;1.729093921;1.51816;1.551988319
197.9;;1.729022231;1.51823;1.551948502
198;;1.72895056;1.51876;1.551908703
198.1;;1.72887891;1.51779;1.551868924
198.2;;1.728807279;1.518;1.551829162
198.3;;1.728735667;1.51863;1.55178942
198.4;;1.728664075;1.51768;1.551749696
198.5;;1.728592503;1.51841;1.551709991
198.6;;1.728520951;1.51825;1.551670305
198.7;;1.728449418;1.51758;1.551630637
198.8;;1.728377905;1.51828;1.551590988
198.9;;1.728306411;1.51807;1.551551358
199;;1.728234937;1.51806;1.551511746
199.1;;1.728163482;1.51783;1.551472153
199.2;;1.728092047;1.518;1.551432578
199.3;;1.728020632;1.51828;1.551393022
199.4;;1.727949237;1.51784;1.551353485
199.5;;1.72787786;1.51704;1.551313966
199.6;;1.727806504;1.51852;1.551274465
199.7;;1.727735167;1.51759;1.551234984
199.8;;1.727663849;1.5169;1.55119552
199.9;;1.727592552;1.51775;1.551156076
200;;1.727521273;1.5177;1.551116649
200.1;;1.727450014;1.5167;1.551077242
200.2;;1.727378775;1.51798;1.551037853
200.3;;1.727307555;1.51678;1.550998482
200.4;;1.727236355;1.51761;1.55095913
200.5;;1.727165174;1.51749;1.550919796
200.6;;1.727094013;1.51683;1.550880481
200.7;;1.727022871;1.51721;1.550841184
200.8;;1.726951749;1.51744;1.550801906
200.9;;1.726880646;1.51725;1.550762646
201;;1.726809563;1.51689;1.550723405
201.1;;1.726738499;1.51774;1.550684182
201.2;;1.726667454;1.51731;1.550644977
201.3;;1.726596429;1.51714;1.550605791
201.4;;1.726525424;1.51692;1.550566623
201.5;;1.726454438;1.5169;1.550527474
201.6;;1.726383471;1.51688;1.550488343
201.7;;1.726312524;1.5167;1.55044923
201.8;;1.726241596;1.51747;1.550410136
201.9;;1.726170687;1.51643;1.55037106
202;;1.726099798;1.5165;1.550332002
202.1;;1.726028929;1.51701;1.550292963
202.2;;1.725958078;1.51641;1.550253942
202.3;;1.725887247;1.51666;1.55021494
202.4;;1.725816436;1.51615;1.550175955
202.5;;1.725745644;1.51629;1.550136989
202.6;;1.725674871;1.51677;1.550098042
202.7;;1.725604118;1.51637;1.550059112
202.8;;1.725533384;1.51616;1.550020201
202.9;;1.725462669;1.51595;1.549981308
203;;1.725391974;1.51595;1.549942434
203.1;;1.725321297;1.51709;1.549903577
203.2;;1.725250641;1.51632;1.549864739
203.3;;1.725180003;1.51591;1.549825919
203.4;;1.725109385;1.51596;1.549787118
203.5;;1.725038786;1.51694;1.549748334
203.6;;1.724968207;1.51551;1.549709569
203.7;;1.724897647;1.51526;1.549670822
203.8;;1.724827106;1.51596;1.549632093
203.9;;1.724756584;1.51562;1.549593382
204;;1.724686082;1.51547;1.54955469
204.1;;1.724615599;1.51541;1.549516015
204.2;;1.724545135;1.51603;1.549477359
204.3;;1.72447469;1.51561;1.549438721
204.4;;1.724404265;1.51553;1.549400101
204.5;;1.724333859;1.5159;1.549361499
204.6;;1.724263472;1.51544;1.549322915
204.7;;1.724193104;1.51531;1.54928435
204.8;;1.724122756;1.5162;1.549245802
204.9;;1.724052426;1.51564;1.549207273
205;;1.723982116;1.51483;1.549168761
205.1;;1.723911825;1.51558;1.549130268
205.2;;1.723841554;1.51486;1.549091793
205.3;;1.723771301;1.51508;1.549053336
205.4;;1.723701068;1.51447;1.549014897
205.5;;1.723630854;1.51462;1.548976475
205.6;;1.723560659;1.51538;1.548938072
205.7;;1.723490483;1.5152;1.548899687
205.8;;1.723420327;1.5153;1.54886132
205.9;;1.723350189;1.51476;1.548822971
206;;1.723280071;1.51466;1.54878464
206.1;;1.723209972;1.51478;1.548746327
206.2;;1.723139892;1.51505;1.548708032
206.3;;1.723069831;1.51473;1.548669755
206.4;;1.722999789;1.51492;1.548631496
206.5;;1.722929766;1.51444;1.548593254
206.6;;1.722859762;1.51462;1.548555031
206.7;;1.722789778;1.51407;1.548516826
206.8;;1.722719813;1.51504;1.548478638
206.9;;1.722649866;1.51371;1.548440469
207;;1.722579939;1.51388;1.548402317
207.1;;1.722510031;1.5147;1.548364183
207.2;;1.722440142;1.51468;1.548326068
207.3;;1.722370272;1.51437;1.54828797
207.4;;1.722300421;1.51428;1.54824989
207.5;;1.722230589;1.51439;1.548211827
207.6;;1.722160776;1.51449;1.548173783
207.7;;1.722090982;1.51403;1.548135756
207.8;;1.722021207;1.51464;1.548097748
207.9;;1.721951451;1.51419;1.548059757
208;;1.721881714;1.51421;1.548021784
208.1;;1.721811996;1.51435;1.547983829
208.2;;1.721742298;1.51374;1.547945891
208.3;;1.721672618;1.51348;1.547907971
208.4;;1.721602957;1.51352;1.54787007
208.5;;1.721533315;1.51319;1.547832185
208.6;;1.721463692;1.51352;1.547794319
208.7;;1.721394089;1.51301;1.547756471
208.8;;1.721324504;1.51372;1.54771864
208.9;;1.721254938;1.51464;1.547680827
209;;1.721185391;1.51358;1.547643031
209.1;;1.721115863;1.51364;1.547605254
209.2;;1.721046354;1.51366;1.547567494
209.3;;1.720976863;1.51303;1.547529751
209.4;;1.720907392;1.51269;1.547492027
209.5;;1.72083794;1.51351;1.54745432
209.6;;1.720768506;1.51342;1.547416631
209.7;;1.720699092;1.51322;1.547378959
209.8;;1.720629696;1.51288;1.547341306
209.9;;1.72056032;1.51281;1.54730367
210;;1.720490962;1.51286;1.547266051
210.1;;1.720421623;1.51279;1.54722845
210.2;;1.720352303;1.5131;1.547190867
210.3;;1.720283002;1.51285;1.547153301
210.4;;1.72021372;1.5129;1.547115753
210.5;;1.720144456;1.51264;1.547078223
210.6;;1.720075212;1.51266;1.54704071
210.7;;1.720005986;1.51168;1.547003215
210.8;;1.719936779;1.51261;1.546965737
210.9;;1.719867591;1.5122;1.546928277
211;;1.719798422;1.51204;1.546890835
211.1;;1.719729272;1.51255;1.54685341
211.2;;1.71966014;1.512;1.546816002
211.3;;1.719591028;1.51214;1.546778612
211.4;;1.719521934;1.51224;1.54674124
211.5;;1.719452859;1.51231;1.546703885
211.6;;1.719383802;1.51231;1.546666548
211.7;;1.719314765;1.51269;1.546629228
211.8;;1.719245746;1.51184;1.546591926
211.9;;1.719176746;1.51255;1.546554641
212;;1.719107765;1.51205;1.546517373
212.1;;1.719038803;1.51139;1.546480123
212.2;;1.718969859;1.51187;1.546442891
212.3;;1.718900934;1.51122;1.546405676
212.4;;1.718832028;1.51167;1.546368478
212.5;;1.718763141;1.51255;1.546331298
212.6;;1.718694272;1.51188;1.546294136
212.7;;1.718625422;1.51097;1.54625699
212.8;;1.718556591;1.51265;1.546219863
212.9;;1.718487778;1.51255;1.546182752
213;;1.718418985;1.511;1.546145659
213.1;;1.71835021;1.51197;1.546108583
213.2;;1.718281453;1.51069;1.546071525
213.3;;1.718212716;1.51151;1.546034484
213.4;;1.718143997;1.51123;1.545997461
213.5;;1.718075297;1.51135;1.545960454
213.6;;1.718006615;1.51143;1.545923465
213.7;;1.717937952;1.51133;1.545886494
213.8;;1.717869308;1.51178;1.54584954
213.9;;1.717800682;1.51148;1.545812603
214;;1.717732075;1.51144;1.545775683
214.1;;1.717663487;1.51111;1.545738781
214.2;;1.717594918;1.51162;1.545701896
214.3;;1.717526367;1.51066;1.545665028
214.4;;1.717457834;1.51069;1.545628178
214.5;;1.717389321;1.51107;1.545591345
214.6;;1.717320825;1.51122;1.545554529
214.7;;1.717252349;1.51066;1.54551773
214.8;;1.717183891;1.51075;1.545480949
214.9;;1.717115452;1.5106;1.545444184
215;;1.717047031;1.51112;1.545407438
215.1;;1.716978629;1.51045;1.545370708
215.2;;1.716910246;1.51048;1.545333995
215.3;;1.716841881;1.51142;1.5452973
215.4;;1.716773534;1.51081;1.545260622
215.5;;1.716705207;1.51066;1.545223961
215.6;;1.716636898;1.51132;1.545187317
215.7;;1.716568607;1.51016;1.545150691
215.8;;1.716500335;1.51016;1.545114081
215.9;;1.716432081;1.51008;1.545077489
216;;1.716363846;1.5104;1.545040914
216.1;;1.71629563;1.51048;1.545004356
216.2;;1.716227432;1.51011;1.544967815
216.3;;1.716159253;1.50997;1.544931291
216.4;;1.716091092;1.51128;1.544894784
216.5;;1.716022949;1.51008;1.544858295
216.6;;1.715954826;1.51007;1.544821823
216.7;;1.71588672;1.5107;1.544785367
216.8;;1.715818633;1.51056;1.544748929
216.9;;1.715750565;1.50972;1.544712508
217;;1.715682515;1.51041;1.544676104
217.1;;1.715614484;1.50948;1.544639717
217.2;;1.715546471;1.50949;1.544603346
217.3;;1.715478476;1.51007;1.544566993
217.4;;1.7154105;1.51006;1.544530658
217.5;;1.715342543;1.51047;1.544494339
217.6;;1.715274604;1.51003;1.544458037
217.7;;1.715206683;1.50942;1.544421752
217.8;;1.715138781;1.50959;1.544385484
