;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
6,4;6,4;0,4767;0,475201435;0,480210213;0,48021013;0,583686745;0,589871465;0,589871203
6,5;6,5;0,484;0,479974085;0,487551131;0,487552687;0,589618486;0,598981276;0,59898199
6,6;6,6;0,49259;0,489883422;0,49488927;0,494889187;0,601906838;0,6080907;0,608090438
6,7;6,7;0,50008;0,494646892;0,502221382;0,502222923;0,607834775;0,617197841;0,617198528
6,8;6,8;0,50672;0,504547794;0,509550745;0,509550662;0,620121591;0,626304649;0,626304387
6,9;6,9;0,51581;0,509302176;0,516874141;0,516875666;0,626045883;0,635409277;0,635409939
7;7;0,52226;0,519194735;0,524194818;0,524194735;0,638331317;0,644513622;0,64451336
7,1;7,1;0,53011;0,523940119;0,531509589;0,5315111;0,644252112;0,653615883;0,653616522
7,2;7,2;0,5393;0,533824424;0,538821671;0,538821588;0,656536309;0,662717908;0,662717646
7,3;7,3;0,54606;0,538560901;0,546127907;0,546129402;0,662453745;0,671817939;0,671818556
7,4;7,4;0,55481;0,548437042;0,553431482;0,553431399;0,67473684;0,680917777;0,680917515
7,5;7,5;0,56214;0,553164699;0,560729271;0,560730751;0,680651048;0,690015706;0,690016302
7,6;7,6;0,56971;0,563032766;0,568024428;0,568024346;0,692933167;0,699113483;0,699113221
7,7;7,7;0,57757;0,567751691;0,575313857;0,575315324;0,698844267;0,70820943;0,708210007
7,8;7,8;0,58483;0,577611769;0,582600685;0,582600602;0,711125528;0,717305262;0,717305001
7,9;7,9;0,59377;0,582322051;0,589881841;0,589883293;0,717033635;0,72639934;0,726399899
8;8;0,60239;0,592174228;0,597160424;0,597160342;0,729314149;0,735493339;0,735493077
8,1;8,1;0,6091;0,596875951;0,604433394;0,604434832;0,73521937;0,744585652;0,744586194
8,2;8,2;0,61811;0,606720312;0,611703819;0,611703736;0,747499241;0,75367792;0,753677658
8,3;8,3;0,62654;0,611413562;0,618968687;0,61897011;0,753401676;0,762768568;0,762769095
