Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by dG
0;0,02;1;1,53;1,53;1,53
0,1;0,02;1,0071665022203162;1,53;1,5409647483970839;1,5265041143973992
0,2;0,02;1,0058256917461423;1,53;1,5389133083715978;1,5253190025496846
0,30000000000000004;0,02;1,0045430850527777;1,53;1,5369509201307499;1,5229622483429306
0,4;0,02;1,0033157319030273;1,53;1,5350730698116317;1,522039549378718
0,5;0,02;1,0021408344734415;1,53;1,5332754767443655;1,5200332656721964
0,6;0,02;1,0010157394608523;1,53;1,531554081375104;1,5204539518281597
0,7;0,02;0,9999379305978424;1,53;1,529905033814699;1,519777324063379
0,7999999999999999;0,02;0,9989050215559608;1,53;1,52832468298062;1,5181383489665294
0,8999999999999999;0,02;0,9979147492165973;1,53;1,5268095663013939;1,51763659471602
1,9;0,02;0,9899354160503486;1,53;1,5146011865570335;1,5116806142044976
2;0,02;0,9892942459722469;1,53;1,5136201963375377;1,5107390629434445
3;0,02;0,983981537372393;1,53;1,5054917521797613;1,5098873295917563
3,1;0,02;0,9835402771273942;1,53;1,5048166240049132;1,5089490074405856
4,1;0,02;0,9797655190967596;1,53;1,499041244218042;1,5097039925505387
4,199999999999999;0,02;0,9794406821234383;1,53;1,4985442436488605;1,509546234371587
5,199999999999999;0,02;0,976571480064704;1,53;1,4941543644989972;1,5096256118703142
5,299999999999999;0,02;0,9763162057244597;1,53;1,4937637947584232;1,5097548145938047
6,299999999999999;0,02;0,973996860319062;1,53;1,490215196288165;1,509618308122591
6,399999999999999;0,02;0,9737847144093397;1,53;1,4898906130462897;1,5094854345857807
7,399999999999999;0,02;0,9718138942809076;1,53;1,4868752582497886;1,5091372607722928
7,499999999999998;0,02;0,9716298440835337;1,53;1,4865936614478066;1,5091861628304666
8,499999999999998;0,02;0,9698924317034261;1,53;1,483935420506242;1,508662855836534
8,599999999999998;0,02;0,9697278173700971;1,53;1,4836835605762486;1,5085215926316895
9,599999999999998;0,02;0,9681569306545214;1,53;1,4812801039014176;1,5079214062299486
9,699999999999998;0,02;0,9680066626696173;1,53;1,4810501938845144;1,5079358434608023
10,699999999999998;0,02;0,9665624855854262;1,53;1,4788406029457022;1,5073102593359813
10,799999999999997;0,02;0,9664234822658158;1,53;1,478627927866698;1,5071777852066692
11,799999999999997;0,02;0,9650814591414124;1,53;1,4765746324863611;1,5065824966651333
11,899999999999997;0,02;0,9649517749423052;1,53;1,476376215661727;1,5065912140782416
12,899999999999997;0,02;0,963696021383132;1,53;1,4744549127161921;1,5060445999144005
12,999999999999996;0,02;0,9635743600816191;1,53;1,4742687709248772;1,5059312682800554
13,999999999999996;0,02;0,9623939804882278;1,53;1,4724627901469884;1,505454728173904
14,099999999999996;0,02;0,962279422835775;1,53;1,4722875169387357;1,5054688823817786
15,099999999999996;0,02;0,9611664477881925;1,53;1,4705846651159344;1,5050606412591467
15,199999999999996;0,02;0,9610582987080474;1,53;1,4704191970233125;1,5049683855012883
16,199999999999996;0,02;0,960006525442205;1,53;1,4688099839265736;1,5046335975395244
16,299999999999997;0,02;0,9599042278929857;1,53;1,4686534686762682;1,50465556226909
17,299999999999997;0,02;0,9589085645673874;1,53;1,4671301037881028;1,5043846424608176
17,4;0,02;0,958811650613732;1,53;1,46698182543901;1,5043113804101291
18,4;0,02;0,9578677419004035;1,53;1,4655376451076174;1,5041034523792733
19,4;0,02;0,956967543242173;1,53;1,4641603411605248;1,503944791052421
20,4;0,02;0,9561081821436275;1,53;1,46284551867975;1,5038298183308365
21,4;0,02;0,9552870263409126;1,53;1,4615891503015963;1,5037531026800854
22,4;0,02;0,9545016465894254;1,53;1,4603875192818208;1,5037095057487793
23,4;0,02;0,953749790726179;1,53;1,459237179811054;1,5036942590561535
24,4;0,02;0,9530293646240915;1,53;1,45813492787486;1,5037029964015642
25,4;0,02;0,9523384174459084;1,53;1,45707777869224;1,5037317589901806
26,4;0,02;0,9516751296584123;1,53;1,4560629483773708;1,5037769843395825
27,4;0,02;0,9510378028871929;1,53;1,455087838417405;1,503835486057302
28,4;0,02;0,9504248510572606;1,53;1,4541500221176087;1,5039044289593562
29,4;0,02;0,9498347924801523;1,53;1,453247232494633;1,5039813022964956
30,4;0,02;0,9492662426755818;1,53;1,4523773512936402;1,5040638927608634
31,4;0,02;0,9487179077913616;1,53;1,4515383989207833;1,504150258250949
32,4;0,02;0,948188578530549;1,53;1,4507285251517401;1,504238702936542
33,4;0,02;0,9476771245220631;1,53;1,4499460005187566;1,5043277538950548
34,4;0,02;0,9471824890877273;1,53;1,4491892083042228;1,5044161394256883
35,4;0,02;0,946703684369146;1,53;1,4484566370847933;1,5045027690495085
36,4;0,02;0,9462397867845449;1,53;1,4477468737803538;1,5045867151466195
37,4;0,02;0,945789932790215;1,53;1,4470585971690288;1,5046671961505205
38,4;0,02;0,9453533149243578;1,53;1,4463905718342676;1,504743561204359
39,4;0,02;0,9449291781134693;1,53;1,445741642513608;1,5048152761779814
40,4;0,02;0,9445168162232245;1,53;1,4451107288215335;1,504881910944461
41,4;0,02;0,944115568837312;1,53;1,4444968203210873;1,5049431278178103
42,4;0,02;0,9437248182489416;1,53;1,4438989719208808;1,504998671058345
43,4;0,02;0,9433439866508542;1,53;1,4433162995758069;1,5050483573577935
44,4;0,02;0,9429725335106619;1,53;1,4427479762713127;1,505092067222162
45,4;0,02;0,9426099531192494;1,53;1,4421932282724517;1,5051297371762942
46,4;0,02;0,9422557723007987;1,53;1,441651331620222;1,5051613527198209
47,4;0,02;0,9419095482737619;1,53;1,4411216088588559;1,5051869419696426
48,4;0,02;0,9415708666528253;1,53;1,4406034259788227;1,505206569929253
49,4;0,02;0,9412393395825597;1,53;1,4400961895613162;1,5052203333299898
50,4;0,02;0,9409146039940749;1,53;1,4395993441109347;1,5052283559937862
51,4;0,02;0,9405963199765669;1,53;1,4391123695641475;1,505198637733624
52,4;0,02;0,940284169256182;1,53;1,4386347789619585;1,5051962484373715
53,4;0,02;0,9399778537751233;1,53;1,4381661162759387;1,5051885835006877
54,4;0,02;0,9396770943643906;1,53;1,4377059543775177;1,5051758394847035
55,4;0,02;0,9393816295039806;1,53;1,4372538931410903;1,5051582230620315
56,4;0,02;0,9390912141647827;1,53;1,4368095576721176;1,505135948667886
57,4;0,02;0,9388056187267834;1,53;1,4363725966519785;1,5051092364185945
58,4;0,02;0,9385246279685506;1,53;1,4359426807918825;1,5050783102724383
59,4;0,02;0,9382480401232977;1,53;1,4355195013886455;1,5050433964099015
60,4;0,02;0,9379756659971376;1,53;1,4351027689756204;1,5050047218123839
61,4;0,02;0,9377073281454307;1,53;1,434692212062509;1,5049625130202264
62,4;0,02;0,9374428601033924;1,53;1,4342875759581903;1,5049169950525805
