Time,Stress,Time,Extrapolated Stress
,,61.300000000000104,0.8766713999999912
,,61.400000000000105,0.876659999999991
,,61.50000000000011,0.8766487999999908
,,61.60000000000011,0.8766377999999906
,,61.70000000000011,0.8766269999999904
,,61.80000000000011,0.8766163999999901
,,61.90000000000011,0.8766059999999898
,,62.000000000000114,0.8765957999999895
,,62.100000000000115,0.8765857999999892
,,62.20000000000012,0.8765759999999889
,,62.30000000000012,0.8765663999999886
,,62.40000000000012,0.8765569999999884
,,62.50000000000012,0.8765477999999881
,,62.60000000000012,0.8765387999999878
,,62.700000000000124,0.8765299999999876
,,62.800000000000125,0.8765213999999873
,,62.90000000000013,0.8765129999999871
,,63.00000000000013,0.8765047999999869
,,63.10000000000013,0.8764967999999865
,,63.20000000000013,0.8764889999999862
,,63.30000000000013,0.8764813999999859
,,63.400000000000134,0.8764739999999855
,,63.500000000000135,0.8764667999999852
,,63.600000000000136,0.8764597999999849
,,63.70000000000014,0.8764529999999846
,,63.80000000000014,0.8764463999999843
,,63.90000000000014,0.876439999999984
,,64.00000000000014,0.8764337999999837
,,64.10000000000014,0.8764277999999834
,,64.20000000000013,0.8764219999999832
,,64.30000000000013,0.8764163999999828
,,64.40000000000012,0.8764109999999824
,,64.50000000000011,0.876405799999982
,,64.60000000000011,0.8764007999999817
,,64.7000000000001,0.8763959999999813
,,64.8000000000001,0.876391399999981
,,64.90000000000009,0.8763869999999806
,,65.00000000000009,0.8763827999999803
,,65.10000000000008,0.8763787999999799
,,65.20000000000007,0.8763749999999796
,,65.30000000000007,0.8763713999999793
,,65.40000000000006,0.8763679999999789
,,65.50000000000006,0.8763647999999786
,,65.60000000000005,0.8763617999999782
,,65.70000000000005,0.8763589999999778
,,65.80000000000004,0.8763563999999774
,,65.90000000000003,0.876353999999977
,,66.00000000000003,0.8763517999999766
,,66.10000000000002,0.8763497999999762
,,66.20000000000002,0.8763479999999758
,,66.30000000000001,0.8763463999999754
,,66.4,0.8763449999999751
,,66.5,0.8763437999999747
,,66.6,0.8763427999999743
,,66.69999999999999,0.876341999999974
,,66.79999999999998,0.8763413999999735
,,66.89999999999998,0.8763409999999731
,,66.99999999999997,0.8763407999999726
,,67.09999999999997,0.8763407999999722
,,67.19999999999996,0.8763407999999722
,,67.29999999999995,0.8763407999999722
,,67.39999999999995,0.8763407999999722
,,67.49999999999994,0.8763407999999722
,,67.59999999999994,0.8763407999999722
,,67.69999999999993,0.8763407999999722
,,67.79999999999993,0.8763407999999722
,,67.89999999999992,0.8763407999999722
,,67.99999999999991,0.8763407999999722
,,68.09999999999991,0.8763407999999722
,,68.1999999999999,0.8763407999999722
,,68.2999999999999,0.8763407999999722
,,68.39999999999989,0.8763407999999722
,,68.49999999999989,0.8763407999999722
,,68.59999999999988,0.8763407999999722
,,68.69999999999987,0.8763407999999722
,,68.79999999999987,0.8763407999999722
,,68.89999999999986,0.8763407999999722
,,68.99999999999986,0.8763407999999722
,,69.09999999999985,0.8763407999999722
,,69.19999999999985,0.8763407999999722
,,69.29999999999984,0.8763407999999722
,,69.39999999999984,0.8763407999999722
,,69.49999999999983,0.8763407999999722
,,69.59999999999982,0.8763407999999722
,,69.69999999999982,0.8763407999999722
,,69.79999999999981,0.8763407999999722
,,69.8999999999998,0.8763407999999722
,,69.9999999999998,0.8763407999999722
,,70.0999999999998,0.8763407999999722
,,70.19999999999979,0.8763407999999722
,,70.29999999999978,0.8763407999999722
,,70.39999999999978,0.8763407999999722
,,70.49999999999977,0.8763407999999722
,,70.59999999999977,0.8763407999999722
,,70.69999999999976,0.8763407999999722
,,70.79999999999976,0.8763407999999722
,,70.89999999999975,0.8763407999999722
,,70.99999999999974,0.8763407999999722
,,71.09999999999974,0.8763407999999722
,,71.19999999999973,0.8763407999999722
,,71.29999999999973,0.8763407999999722
,,71.39999999999972,0.8763407999999722
,,71.49999999999972,0.8763407999999722
,,71.59999999999971,0.8763407999999722
,,71.6999999999997,0.8763407999999722
,,71.7999999999997,0.8763407999999722
,,71.8999999999997,0.8763407999999722
,,71.99999999999969,0.8763407999999722
,,72.09999999999968,0.8763407999999722
,,72.19999999999968,0.8763407999999722
,,72.29999999999967,0.8763407999999722
,,72.39999999999966,0.8763407999999722
,,72.49999999999966,0.8763407999999722
,,72.59999999999965,0.8763407999999722
,,72.69999999999965,0.8763407999999722
,,72.79999999999964,0.8763407999999722
,,72.89999999999964,0.8763407999999722
,,72.99999999999963,0.8763407999999722
,,73.09999999999962,0.8763407999999722
,,73.19999999999962,0.8763407999999722
,,73.29999999999961,0.8763407999999722
,,73.39999999999961,0.8763407999999722
,,73.4999999999996,0.8763407999999722
,,73.5999999999996,0.8763407999999722
,,73.69999999999959,0.8763407999999722
,,73.79999999999959,0.8763407999999722
,,73.89999999999958,0.8763407999999722
,,73.99999999999957,0.8763407999999722
,,74.09999999999957,0.8763407999999722
,,74.19999999999956,0.8763407999999722
,,74.29999999999956,0.8763407999999722
,,74.39999999999955,0.8763407999999722
,,74.49999999999955,0.8763407999999722
,,74.59999999999954,0.8763407999999722
,,74.69999999999953,0.8763407999999722
,,74.79999999999953,0.8763407999999722
,,74.89999999999952,0.8763407999999722
,,74.99999999999952,0.8763407999999722
,,75.09999999999951,0.8763407999999722
,,75.1999999999995,0.8763407999999722
,,75.2999999999995,0.8763407999999722
,,75.3999999999995,0.8763407999999722
,,75.49999999999949,0.8763407999999722
,,75.59999999999948,0.8763407999999722
,,75.69999999999948,0.8763407999999722
,,75.79999999999947,0.8763407999999722
,,75.89999999999947,0.8763407999999722
,,75.99999999999946,0.8763407999999722
,,76.09999999999945,0.8763407999999722
,,76.19999999999945,0.8763407999999722
,,76.29999999999944,0.8763407999999722
,,76.39999999999944,0.8763407999999722
,,76.49999999999943,0.8763407999999722
,,76.59999999999943,0.8763407999999722
,,76.69999999999942,0.8763407999999722
,,76.79999999999941,0.8763407999999722
,,76.89999999999941,0.8763407999999722
,,76.9999999999994,0.8763407999999722
,,77.0999999999994,0.8763407999999722
,,77.19999999999939,0.8763407999999722
,,77.29999999999939,0.8763407999999722
,,77.39999999999938,0.8763407999999722
,,77.49999999999937,0.8763407999999722
,,77.59999999999937,0.8763407999999722
,,77.69999999999936,0.8763407999999722
,,77.79999999999936,0.8763407999999722
,,77.89999999999935,0.8763407999999722
,,77.99999999999935,0.8763407999999722
,,78.09999999999934,0.8763407999999722
,,78.19999999999933,0.8763407999999722
,,78.29999999999933,0.8763407999999722
,,78.39999999999932,0.8763407999999722
,,78.49999999999932,0.8763407999999722
,,78.59999999999931,0.8763407999999722
,,78.6999999999993,0.8763407999999722
,,78.7999999999993,0.8763407999999722
,,78.8999999999993,0.8763407999999722
,,78.99999999999929,0.8763407999999722
,,79.09999999999928,0.8763407999999722
,,79.19999999999928,0.8763407999999722
,,79.29999999999927,0.8763407999999722
,,79.39999999999927,0.8763407999999722
