Time,Stress,Time,Extrapolated Stress
147.2,1.73938,,
147.3,1.73935,,
147.6,1.73891,,
148.1,1.73873,,
148.7,1.73855,,
149.4,1.73844,,
153.4,1.73596,,
153.9,1.73591,,
154.8,1.7359,,
155.3,1.73529,,
155.6,1.73493,,
156,1.73481,,
156.7,1.73466,,
162.3,1.73156,,
163.2,1.73142,,
163.9,1.7309,,
164.2,1.73086,,
169.7,1.72792,,
170.1,1.72784,,
170.5,1.72778,,
170.8,1.72774,,
176,1.72493,,
176.2,1.72449,,
177.5,1.72381,,
177.7,1.72379,,
178.7,1.72371,,
179.9,1.72356,,
180.6,1.72315,,
180.8,1.72314,,
181.9,1.7231,,
183.1,1.72233,,
183.4,1.72203,,
183.8,1.72193,,
184.8,1.72178,,
185.2,1.72076,,
185.6,1.72002,,
186.9,1.71986,,
187.6,1.71985,,
189.6,1.71924,,
193.2,1.71739,,
193.6,1.71733,,
195.3,1.7171,,
195.5,1.71621,,
195.6,1.71618,,
196.8,1.7159,,
197.3,1.71506,,
198.3,1.71501,,
200.3,1.71499,,
200.6,1.7145,,
200.9,1.71445,,
201.6,1.71391,,
202.7,1.71378,,
202.9,1.71317,,
203.1,1.71296,,
203.4,1.71292,,
204.2,1.71242,,
204.8,1.71232,,
205.8,1.71221,,
206.1,1.71167,,
206.6,1.71145,,
207.4,1.71138,,
208.2,1.71136,,
208.4,1.71049,,
208.6,1.7102,,
208.8,1.71002,,
209.5,1.7097,,
210.6,1.70965,,
212.6,1.70956,,
213.8,1.70834,,
214.2,1.70812,,
214.6,1.70808,,
216.7,1.70708,,
217.5,1.70707,,
228.9,1.70202,,
229.2,1.70199,,
230.5,1.70192,,
230.7,1.70133,,
231.3,1.70125,,
231.5,1.7006,,
232,1.70049,,
232.7,1.70048,,
233.5,1.69996,,
234,1.6998,,
234.9,1.69955,,
235.5,1.69942,,
236.9,1.69882,,
237.5,1.69876,,
239.9,1.69858,,
240.2,1.69783,,
240.5,1.69767,,
241,1.69705,,
241.1,1.69699,,
242.3,1.69628,,
243.8,1.69592,,
244.7,1.69577,,
245.5,1.69566,,
245.9,1.69517,,
246.4,1.69515,,
248.2,1.6951,,
259.6,1.69095,,
260.2,1.69021,,
260.6,1.69017,,
261.9,1.69006,,
262.2,1.6897,,
262.4,1.6896,,
263.1,1.68919,,
263.6,1.68874,,
265.1,1.6883,,
265.4,1.68828,,
267.7,1.68818,,
268.3,1.68733,,
268.5,1.6873,,
269.2,1.68728,,
269.7,1.68682,,
270.4,1.68669,,
271.4,1.68589,,
272.6,1.68579,,
273.8,1.68524,,
275.1,1.6852,,
276.3,1.68518,,
287.4,1.68162,,
287.6,1.68098,,
287.8,1.68083,,
288.6,1.68051,,
289.3,1.68042,,
291.6,1.68029,,
292.6,1.67952,,
293.6,1.67951,,
297.2,1.67797,,
298.6,1.67766,,
299.4,1.67762,,
300.3,1.67692,,
302.6,1.67672,,
318.3,1.67147,,
319.5,1.67137,,
320.8,1.67131,,
330.4,1.66893,,
,,344.70500000000004,1.6646903648211258
,,344.80500000000006,1.6646607319149787
,,344.9050000000001,1.664631101281559
,,345.0050000000001,1.6646014729208665
,,345.10500000000013,1.6645718468329014
,,345.20500000000015,1.6645422230176634
,,345.3050000000002,1.6645126014751528
,,345.4050000000002,1.6644829822053695
,,345.5050000000002,1.6644533652083133
,,345.60500000000025,1.6644237504839845
,,345.70500000000027,1.664394138032383
,,345.8050000000003,1.6643645278535086
,,345.9050000000003,1.6643349199473616
,,346.00500000000034,1.664305314313942
,,346.10500000000036,1.6642757109532496
,,346.2050000000004,1.6642461098652843
,,346.3050000000004,1.6642165110500464
,,346.4050000000004,1.6641869145075359
,,346.50500000000045,1.6641573202377524
,,346.6050000000005,1.6641277282406963
,,346.7050000000005,1.6640981385163676
,,346.8050000000005,1.664068551064766
,,346.90500000000054,1.6640389658858916
,,347.00500000000056,1.6640093829797447
,,347.1050000000006,1.663979802346325
,,347.2050000000006,1.6639502239856325
,,347.30500000000063,1.6639206478976674
,,347.40500000000065,1.6638910740824295
,,347.5050000000007,1.6638615025399188
,,347.6050000000007,1.6638319332701355
,,347.7050000000007,1.6638023662730794
,,347.80500000000075,1.6637728015487507
,,347.90500000000077,1.6637432390971492
,,348.0050000000008,1.663713678918275
,,348.1050000000008,1.663684121012128
,,348.20500000000084,1.6636545653787083
,,348.30500000000086,1.6636250120180158
,,348.4050000000009,1.6635954609300507
,,348.5050000000009,1.6635659121148128
,,348.6050000000009,1.6635363655723021
,,348.70500000000095,1.6635068213025188
,,348.805000000001,1.6634772793054629
,,348.905000000001,1.663447739581134
,,349.005000000001,1.6634182021295325
,,349.10500000000104,1.6633886669506583
,,349.20500000000106,1.6633591340445113
,,349.3050000000011,1.6633296034110916
,,349.4050000000011,1.6633000750503992
,,349.50500000000113,1.663270548962434
,,349.60500000000116,1.663241025147196
,,349.7050000000012,1.6632115036046855
,,349.8050000000012,1.6631819843349023
,,349.9050000000012,1.6631524673378462
,,350.00500000000125,1.6631229526135174
,,350.10500000000127,1.663093440161916
,,350.2050000000013,1.6630639299830416
,,350.3050000000013,1.6630344220768947
,,350.40500000000134,1.663004916443475
,,350.50500000000136,1.6629754130827825
,,350.6050000000014,1.6629459119948173
,,350.7050000000014,1.6629164131795795
,,350.8050000000014,1.662886916637069
,,350.90500000000145,1.6628574223672856
,,351.0050000000015,1.6628279303702296
,,351.1050000000015,1.6627984406459009
,,351.2050000000015,1.6627689531942993
,,351.30500000000154,1.662739468015425
,,351.40500000000156,1.6627099851092781
,,351.5050000000016,1.6626805044758584
,,351.6050000000016,1.662651026115166
,,351.70500000000163,1.6626215500272008
,,351.80500000000166,1.662592076211963
,,351.9050000000017,1.6625626046694524
,,352.0050000000017,1.662533135399669
,,352.1050000000017,1.662503668402613
,,352.20500000000175,1.6624742036782842
,,352.30500000000177,1.6624447412266827
,,352.4050000000018,1.6624152810478086
,,352.5050000000018,1.6623858231416615
,,352.60500000000184,1.6623563675082418
,,352.70500000000186,1.6623269141475494
,,352.8050000000019,1.6622974630595844
,,352.9050000000019,1.6622680142443464
,,353.0050000000019,1.6622385677018359
,,353.10500000000195,1.6622091234320526
,,353.205000000002,1.6621796814349965
,,353.305000000002,1.6621502417106677
,,353.405000000002,1.6621208042590663
,,353.50500000000204,1.662091369080192
,,353.60500000000206,1.662061936174045
,,353.7050000000021,1.6620325055406253
,,353.8050000000021,1.662003077179933
,,353.90500000000213,1.6619736510919678
,,354.00500000000216,1.66194422727673
,,354.1050000000022,1.6619148057342195
,,354.2050000000022,1.661885386464436
,,354.3050000000022,1.66185596946738
,,354.40500000000225,1.6618265547430513
,,354.50500000000227,1.66179714229145
,,354.6050000000023,1.6617677321125757
,,354.7050000000023,1.6617383242064288
,,354.80500000000234,1.6617089185730092
,,354.90500000000236,1.6616795152123167
,,355.0050000000024,1.6616501141243516
,,355.1050000000024,1.6616207153091138
,,355.2050000000024,1.6615913187666032
,,355.30500000000245,1.6615619244968198
,,355.4050000000025,1.6615325324997638
,,355.5050000000025,1.6615031427754352
,,355.6050000000025,1.6614737553238337
,,355.70500000000254,1.6614443701449595
,,355.80500000000256,1.6614149872388126
,,355.9050000000026,1.661385606605393
,,356.0050000000026,1.6613562282447005
,,356.10500000000263,1.6613268521567355
,,356.20500000000266,1.6612974783414975
,,356.3050000000027,1.661268106798987
,,356.4050000000027,1.6612387375292037
,,356.5050000000027,1.6612093705321478
,,356.60500000000275,1.661180005807819
,,356.70500000000277,1.6611506433562175
,,356.8050000000028,1.6611212831773434
,,356.9050000000028,1.6610919252711964
,,357.00500000000284,1.6610625696377768
,,357.10500000000286,1.6610332162770844
,,357.2050000000029,1.6610038651891192
,,357.3050000000029,1.6609745163738814
