Time,Stress,Time,Extrapolated Stress
0,2.48348,,
5,2.32697,,
10,2.26332,,
15,2.21714,,
20,2.17357,,
25,2.07175,,
30,2.02983,,
35,2.00439,,
40,1.98413,,
45,1.96652,,
50,1.95086,,
55,1.93716,,
60,1.92566,,
65,1.91367,,
70,1.90344,,
75,1.89427,,
80,1.88558,,
85,1.87823,,
90,1.86984,,
95,1.86352,,
100,1.8567,,
,,100.1,1.856566751368421
,,100.19999999999999,1.856436654105263
,,100.29999999999998,1.8563097082105262
,,100.39999999999998,1.8561859136842105
,,100.49999999999997,1.8560652705263156
,,100.59999999999997,1.855947778736842
,,100.69999999999996,1.8558334383157893
,,100.79999999999995,1.8557222492631578
,,100.89999999999995,1.8556142115789471
,,100.99999999999994,1.8555093252631576
,,101.09999999999994,1.8554075903157892
,,101.19999999999993,1.8553090067368418
,,101.29999999999993,1.8552135745263156
,,101.39999999999992,1.8551212936842103
,,101.49999999999991,1.855032164210526
,,101.59999999999991,1.854946186105263
,,101.6999999999999,1.854863359368421
,,101.7999999999999,1.8547836839999998
,,101.89999999999989,1.8547071599999998
,,101.99999999999989,1.8546337873684209
,,102.09999999999988,1.854563566105263
,,102.19999999999987,1.8544964962105261
,,102.29999999999987,1.8544325776842103
,,102.39999999999986,1.8543718105263156
,,102.49999999999986,1.854314194736842
,,102.59999999999985,1.8542597303157893
,,102.69999999999985,1.8542084172631577
,,102.79999999999984,1.8541602555789471
,,102.89999999999984,1.8541152452631577
,,102.99999999999983,1.8540733863157892
,,103.09999999999982,1.8540346787368418
,,103.19999999999982,1.8539991225263155
,,103.29999999999981,1.8539667176842103
,,103.3999999999998,1.853937464210526
,,103.4999999999998,1.8539113621052628
,,103.5999999999998,1.8538884113684206
,,103.69999999999979,1.8538686119999996
,,103.79999999999978,1.8538519639999997
,,103.89999999999978,1.8538384673684207
,,103.99999999999977,1.8538281221052628
,,104.09999999999977,1.853820928210526
,,104.19999999999976,1.8538168856842103
,,104.29999999999976,1.8538159945263155
,,104.39999999999975,1.8538159945263155
,,104.49999999999974,1.8538159945263155
,,104.59999999999974,1.8538159945263155
,,104.69999999999973,1.8538159945263155
,,104.79999999999973,1.8538159945263155
,,104.89999999999972,1.8538159945263155
,,104.99999999999972,1.8538159945263155
,,105.09999999999971,1.8538159945263155
,,105.1999999999997,1.8538159945263155
,,105.2999999999997,1.8538159945263155
,,105.3999999999997,1.8538159945263155
,,105.49999999999969,1.8538159945263155
,,105.59999999999968,1.8538159945263155
,,105.69999999999968,1.8538159945263155
,,105.79999999999967,1.8538159945263155
,,105.89999999999966,1.8538159945263155
,,105.99999999999966,1.8538159945263155
,,106.09999999999965,1.8538159945263155
,,106.19999999999965,1.8538159945263155
,,106.29999999999964,1.8538159945263155
,,106.39999999999964,1.8538159945263155
,,106.49999999999963,1.8538159945263155
,,106.59999999999962,1.8538159945263155
