Time,Stress,Derivative,RateInDegrees,SecondDerivative
340.5000000000001,1.6658991200000004,-0.00024159999999998403,-0.01384266006102517,
340.60000000000014,1.6658749680000005,-0.0002415199999999835,-0.013838076398931557,
340.70000000000016,1.6658508240000005,-0.00024143999999998297,-0.013833492736837765,
340.8000000000002,1.6658266880000006,-0.00024135999999998244,-0.013828909074743797,
340.9000000000002,1.6658025600000006,-0.00024127999999998191,-0.013824325412649652,
341.0000000000002,1.6657784400000006,-0.0002411999999999814,-0.013819741750555328,
341.10000000000025,1.6657543280000007,-0.00024111999999998086,-0.01381515808846083,
341.2000000000003,1.6657302240000007,-0.00024103999999998033,-0.013810574426366152,
341.3000000000003,1.6657061280000007,-0.0002409599999999798,-0.0138059907642713,
341.4000000000003,1.6656820400000008,-0.00024087999999997928,-0.013801407102176269,
341.50000000000034,1.6656579600000008,-0.00024079999999997875,-0.013796823440081063,
341.60000000000036,1.6656338880000008,-0.00024071999999997822,-0.01379223977798568,
341.7000000000004,1.6656098240000008,-0.0002406399999999777,-0.013787656115890121,
341.8000000000004,1.6655857680000008,-0.00024055999999997716,-0.013783072453794384,
341.90000000000043,1.6655617200000008,-0.00024047999999997664,-0.01377848879169847,
342.00000000000045,1.6655376800000008,-0.0002403999999999761,-0.013773905129602382,
342.1000000000005,1.6655136480000008,-0.00024031999999997558,-0.013769321467506118,
342.2000000000005,1.6654896240000008,-0.00024023999999997505,-0.013764737805409676,
342.3000000000005,1.6654656080000008,-0.00024015999999997453,-0.013760154143313058,
342.40000000000055,1.6654416000000007,-0.000240079999999974,-0.013755570481216265,
342.50000000000057,1.6654176000000007,-0.00023999999999997347,-0.013750986819119293,
342.6000000000006,1.6653936080000007,-0.00023991999999997294,-0.013746403157022148,
342.7000000000006,1.6653696240000007,-0.00023983999999997241,-0.013741819494924826,
342.80000000000064,1.6653456480000006,-0.0002397599999999719,-0.013737235832827328,
342.90000000000066,1.6653216800000006,-0.00023967999999997136,-0.013732652170729656,
343.0000000000007,1.6652977200000005,-0.00023959999999997083,-0.013728068508631805,
343.1000000000007,1.6652737680000005,-0.0002395199999999703,-0.013723484846533782,
343.2000000000007,1.6652498240000004,-0.00023943999999996978,-0.01371890118443558,
343.30000000000075,1.6652258880000004,-0.00023935999999996925,-0.013714317522337203,
343.4000000000008,1.6652019600000003,-0.00023927999999996872,-0.013709733860238653,
343.5000000000008,1.6651780400000002,-0.0002391999999999682,-0.013705150198139926,
343.6000000000008,1.6651541280000002,-0.00023911999999996766,-0.013700566536041021,
343.70000000000084,1.665130224,-0.00023903999999996714,-0.013695982873941944,
343.80000000000086,1.665106328,-0.0002389599999999666,-0.013691399211842691,
343.9000000000009,1.66508244,-0.00023887999999996608,-0.013686815549743261,
344.0000000000009,1.6650585599999999,-0.00023879999999996555,-0.013682231887643658,
344.10000000000093,1.6650346879999998,-0.00023871999999996503,-0.01367764822554388,
344.20000000000095,1.6650108239999997,-0.0002386399999999645,-0.013673064563443924,
344.300000000001,1.6649869679999996,-0.00023855999999996397,-0.013668480901343795,
344.400000000001,1.6649631199999995,-0.00023847999999996344,-0.01366389723924349,
344.500000000001,1.6649392799999996,-0.00023839999999996291,-0.013659313577143012,
344.60000000000105,1.6649154479999997,-0.0002383199999999624,-0.013654729915042359,
344.70000000000107,1.6648916239999998,-0.00023823999999996186,-0.01365014625294153,
344.8000000000011,1.664867808,-0.00023815999999996133,-0.013645562590840528,
344.9000000000011,1.664844,-0.0002380799999999608,-0.013640978928739349,
345.00000000000114,1.6648202,-0.00023799999999996028,-0.013636395266637997,
345.10000000000116,1.6647964080000002,-0.00023791999999995975,-0.013631811604536468,
345.2000000000012,1.6647726240000003,-0.00023783999999995922,-0.013627227942434768,
345.3000000000012,1.6647488480000003,-0.0002377599999999587,-0.013622644280332892,
345.4000000000012,1.6647250800000004,-0.00023767999999995816,-0.013618060618230841,
345.50000000000125,1.6647013200000005,-0.00023759999999995764,-0.013613476956128615,
345.6000000000013,1.6646775680000006,-0.0002375199999999571,-0.013608893294026217,
345.7000000000013,1.6646538240000006,-0.00023743999999995658,-0.013604309631923644,
345.8000000000013,1.6646300880000007,-0.00023735999999995605,-0.013599725969820897,
345.90000000000134,1.6646063600000007,-0.00023727999999995553,-0.013595142307717975,
346.00000000000136,1.6645826400000008,-0.000237199999999955,-0.01359055864561488,
346.1000000000014,1.6645589280000008,-0.00023711999999995447,-0.013585974983511611,
346.2000000000014,1.6645352240000009,-0.00023703999999995394,-0.013581391321408167,
346.30000000000143,1.664511528000001,-0.00023695999999995341,-0.01357680765930455,
346.40000000000146,1.664487840000001,-0.0002368799999999529,-0.01357222399720076,
346.5000000000015,1.664464160000001,-0.00023679999999995236,-0.013567640335096795,
346.6000000000015,1.664440488000001,-0.00023671999999995183,-0.013563056672992655,
346.7000000000015,1.664416824000001,-0.0002366399999999513,-0.013558473010888345,
346.80000000000155,1.664393168000001,-0.00023655999999995078,-0.013553889348783859,
346.90000000000157,1.664369520000001,-0.00023647999999995025,-0.0135493056866792,
347.0000000000016,1.664345880000001,-0.00023639999999994972,-0.013544722024574367,
347.1000000000016,1.664322248000001,-0.0002363199999999492,-0.013540138362469362,
347.20000000000164,1.664298624000001,-0.00023623999999994866,-0.013535554700364183,
347.30000000000166,1.664275008000001,-0.00023615999999994814,-0.013530971038258831,
347.4000000000017,1.664251400000001,-0.0002360799999999476,-0.013526387376153304,
347.5000000000017,1.664227800000001,-0.00023599999999994708,-0.013521803714047606,
347.6000000000017,1.664204208000001,-0.00023591999999994655,-0.013517220051941736,
347.70000000000175,1.664180624000001,-0.00023583999999994603,-0.01351263638983569,
347.8000000000018,1.664157048000001,-0.0002357599999999455,-0.013508052727729472,
347.9000000000018,1.664133480000001,-0.00023567999999994497,-0.013503469065623082,
348.0000000000018,1.664109920000001,-0.00023559999999994444,-0.013498885403516517,
348.10000000000184,1.6640863680000009,-0.00023551999999994391,-0.013494301741409781,
348.20000000000186,1.6640628240000008,-0.0002354399999999434,-0.013489718079302873,
348.3000000000019,1.6640392880000008,-0.00023535999999994286,-0.013485134417195791,
348.4000000000019,1.6640157600000007,-0.00023527999999994233,-0.013480550755088538,
348.50000000000193,1.6639922400000007,-0.0002351999999999418,-0.01347596709298111,
348.60000000000196,1.6639687280000006,-0.00023511999999994128,-0.013471383430873512,
348.700000000002,1.6639452240000006,-0.00023503999999994075,-0.01346679976876574,
348.800000000002,1.6639217280000005,-0.00023495999999994022,-0.013462216106657796,
348.900000000002,1.6638982400000004,-0.0002348799999999397,-0.013457632444549679,
349.00000000000205,1.6638747600000003,-0.00023479999999993916,-0.013453048782441392,
349.10000000000207,1.6638512880000003,-0.00023471999999993864,-0.013448465120332929,
349.2000000000021,1.6638278240000002,-0.0002346399999999381,-0.013443881458224297,
349.3000000000021,1.663804368,-0.00023455999999993758,-0.01343929779611549,
349.40000000000214,1.66378092,-0.00023447999999993705,-0.013434714134006515,
349.50000000000216,1.66375748,-0.00023439999999993653,-0.013430130471897365,
349.6000000000022,1.6637340479999998,-0.000234319999999936,-0.013425546809788046,
349.7000000000022,1.663710624,-0.00023423999999993547,-0.013420963147678551,
349.8000000000022,1.663687208,-0.00023415999999993494,-0.013416379485568886,
349.90000000000225,1.6636638000000001,-0.00023407999999993441,-0.01341179582345905,
350.0000000000023,1.6636404000000002,-0.0002339999999999339,-0.013407212161349043,
350.1000000000023,1.6636170080000003,-0.00023391999999993336,-0.013402628499238864,
350.2000000000023,1.6635936240000004,-0.00023383999999993283,-0.013398044837128512,
350.30000000000234,1.6635702480000005,-0.0002337599999999323,-0.013393461175017989,
350.40000000000236,1.6635468800000006,-0.00023367999999993178,-0.013388877512907295,
350.5000000000024,1.6635235200000007,-0.00023359999999993125,-0.01338429385079643,
350.6000000000024,1.6635001680000008,-0.00023351999999993072,-0.013379710188685393,
350.70000000000243,1.6634768240000009,-0.0002334399999999302,-0.013375126526574185,
350.80000000000246,1.663453488000001,-0.00023335999999992966,-0.013370542864462804,
350.9000000000025,1.663430160000001,-0.00023327999999992914,-0.013365959202351256,
351.0000000000025,1.663406840000001,-0.0002331999999999286,-0.013361375540239534,
351.1000000000025,1.663383528000001,-0.00023311999999992808,-0.013356791878127642,
351.20000000000255,1.6633602240000012,-0.00023303999999992755,-0.013352208216015578,
351.30000000000257,1.6633369280000012,-0.00023295999999992703,-0.013347624553903344,
351.4000000000026,1.6633136400000013,-0.0002328799999999265,-0.013343040891790937,
351.5000000000026,1.6632903600000013,-0.00023279999999992597,-0.013338457229678361,
351.60000000000264,1.6632670880000013,-0.00023271999999992544,-0.013333873567565616,
351.70000000000266,1.6632438240000014,-0.00023263999999992491,-0.013329289905452698,
351.8000000000027,1.6632205680000014,-0.0002325599999999244,-0.01332470624333961,
351.9000000000027,1.6631973200000014,-0.00023247999999992386,-0.013320122581226352,
352.00000000000273,1.6631740800000014,-0.00023239999999992333,-0.013315538919112921,
352.10000000000275,1.6631508480000015,-0.0002323199999999228,-0.013310955256999322,
352.2000000000028,1.6631276240000015,-0.00023223999999992228,-0.013306371594885553,
352.3000000000028,1.6631044080000015,-0.00023215999999992175,-0.013301787932771612,
352.4000000000028,1.6630812000000015,-0.00023207999999992122,-0.013297204270657502,
352.50000000000284,1.6630580000000015,-0.0002319999999999207,-0.01329262060854322,
352.60000000000286,1.6630348080000015,-0.00023191999999992016,-0.01328803694642877,
352.7000000000029,1.6630116240000015,-0.00023183999999991964,-0.01328345328431415,
352.8000000000029,1.6629884480000015,-0.0002317599999999191,-0.013278869622199358,
352.90000000000293,1.6629652800000014,-0.00023167999999991858,-0.013274285960084398,
353.00000000000296,1.6629421200000014,-0.00023159999999991805,-0.013269702297969267,
353.100000000003,1.6629189680000014,-0.00023151999999991753,-0.013265118635853966,
353.200000000003,1.6628958240000014,-0.000231439999999917,-0.013260534973738495,
353.300000000003,1.6628726880000013,-0.00023135999999991647,-0.013255951311622854,
353.40000000000305,1.6628495600000013,-0.00023127999999991594,-0.013251367649507044,
353.50000000000307,1.6628264400000012,-0.00023119999999991541,-0.013246783987391066,
353.6000000000031,1.6628033280000012,-0.00023111999999991489,-0.013242200325274917,
353.7000000000031,1.6627802240000011,-0.00023103999999991436,-0.013237616663158598,
353.80000000000314,1.662757128000001,-0.00023095999999991383,-0.01323303300104211,
353.90000000000316,1.662734040000001,-0.0002308799999999133,-0.013228449338925453,
354.0000000000032,1.662710960000001,-0.00023079999999991278,-0.013223865676808626,
354.1000000000032,1.662687888000001,-0.00023071999999991225,-0.01321928201469163,
354.20000000000323,1.6626648240000008,-0.00023063999999991172,-0.013214698352574465,
354.30000000000325,1.6626417680000007,-0.0002305599999999112,-0.013210114690457131,
354.4000000000033,1.6626187200000007,-0.00023047999999991066,-0.013205531028339627,
354.5000000000033,1.6625956800000006,-0.00023039999999991014,-0.013200947366221955,
354.6000000000033,1.6625726480000005,-0.0002303199999999096,-0.013196363704104113,
354.70000000000334,1.6625496240000004,-0.00023023999999990908,-0.013191780041986102,
354.80000000000337,1.6625266080000003,-0.00023015999999990855,-0.013187196379867924,
354.9000000000034,1.6625036000000004,-0.00023007999999990803,-0.013182612717749575,
355.0000000000034,1.6624806000000005,-0.0002299999999999075,-0.01317802905563106,
355.10000000000343,1.6624576080000006,-0.00022991999999990697,-0.013173445393512374,
355.20000000000346,1.6624346240000007,-0.00022983999999990644,-0.013168861731393519,
355.3000000000035,1.6624116480000009,-0.00022975999999990591,-0.013164278069274497,
355.4000000000035,1.662388680000001,-0.00022967999999990539,-0.013159694407155306,
355.5000000000035,1.662365720000001,-0.00022959999999990486,-0.013155110745035946,
355.60000000000355,1.6623427680000011,-0.00022951999999990433,-0.013150527082916417,
355.70000000000357,1.6623198240000012,-0.0002294399999999038,-0.01314594342079672,
355.8000000000036,1.6622968880000013,-0.00022935999999990328,-0.013141359758676857,
355.9000000000036,1.6622739600000014,-0.00022927999999990275,-0.013136776096556824,
356.00000000000364,1.6622510400000015,-0.00022919999999990222,-0.013132192434436625,
356.10000000000366,1.6622281280000015,-0.0002291199999999017,-0.013127608772316253,
356.2000000000037,1.6622052240000016,-0.00022903999999990116,-0.013123025110195717,
356.3000000000037,1.6621823280000017,-0.00022895999999990064,-0.013118441448075013,
356.40000000000373,1.6621594400000017,-0.0002288799999999001,-0.01311385778595414,
356.50000000000375,1.6621365600000018,-0.00022879999999989958,-0.013109274123833099,
356.6000000000038,1.6621136880000018,-0.00022871999999989905,-0.013104690461711891,
356.7000000000038,1.6620908240000019,-0.00022863999999989853,-0.013100106799590514,
356.8000000000038,1.662067968000002,-0.000228559999999898,-0.01309552313746897,
356.90000000000384,1.662045120000002,-0.00022847999999989747,-0.013090939475347257,
357.00000000000387,1.662022280000002,-0.00022839999999989694,-0.013086355813225379,
357.1000000000039,1.661999448000002,-0.00022831999999989641,-0.013081772151103331,
357.2000000000039,1.661976624000002,-0.00022823999999989589,-0.013077188488981118,
357.30000000000393,1.661953808000002,-0.00022815999999989536,-0.013072604826858736,
357.40000000000396,1.661931000000002,-0.00022807999999989483,-0.013068021164736187,
357.500000000004,1.661908200000002,-0.0002279999999998943,-0.013063437502613472,
357.600000000004,1.661885408000002,-0.00022791999999989378,-0.013058853840490589,
357.700000000004,1.661862624000002,-0.00022783999999989325,-0.013054270178367538,
357.80000000000405,1.661839848000002,-0.00022775999999989272,-0.013049686516244321,
357.90000000000407,1.661817080000002,-0.0002276799999998922,-0.013045102854120937,
358.0000000000041,1.661794320000002,-0.00022759999999989166,-0.013040519191997384,
358.1000000000041,1.661771568000002,-0.00022751999999989114,-0.013035935529873666,
358.20000000000414,1.661748824000002,-0.0002274399999998906,-0.01303135186774978,
358.30000000000416,1.661726088000002,-0.00022735999999989008,-0.013026768205625728,
358.4000000000042,1.661703360000002,-0.00022727999999988955,-0.013022184543501509,
358.5000000000042,1.661680640000002,-0.00022719999999988903,-0.013017600881377123,
358.60000000000423,1.661657928000002,-0.0002271199999998885,-0.013013017219252571,
358.70000000000425,1.6616352240000019,-0.00022703999999988797,-0.013008433557127852,
358.8000000000043,1.6616125280000018,-0.00022695999999988744,-0.013003849895002967,
358.9000000000043,1.6615898400000018,-0.00022687999999988691,-0.012999266232877916,
359.0000000000043,1.6615671600000017,-0.00022679999999988639,-0.012994682570752697,
359.10000000000434,1.6615444880000017,-0.00022671999999988586,-0.012990098908627313,
359.20000000000437,1.6615218240000016,-0.00022663999999988533,-0.012985515246501761,
359.3000000000044,1.6614991680000015,-0.0002265599999998848,-0.012980931584376045,
359.4000000000044,1.6614765200000015,-0.00022647999999988427,-0.012976347922250163,
359.50000000000443,1.6614538800000014,-0.00022639999999988375,-0.012971764260124113,
359.60000000000446,1.6614312480000013,-0.00022631999999988322,-0.012967180597997898,
359.7000000000045,1.6614086240000012,-0.0002262399999998827,-0.012962596935871517,
359.8000000000045,1.6613860080000011,-0.00022615999999988216,-0.012958013273744969,
359.9000000000045,1.661363400000001,-0.00022607999999988164,-0.012953429611618255,
360.00000000000455,1.661340800000001,-0.0002259999999998811,-0.012948845949491377,
360.10000000000457,1.6613182080000009,-0.00022591999999988058,-0.012944262287364333,
360.2000000000046,1.661295624000001,-0.00022583999999988005,-0.012939678625237122,
360.3000000000046,1.661273048000001,-0.00022575999999987952,-0.012935094963109746,
360.40000000000464,1.6612504800000012,-0.000225679999999879,-0.012930511300982205,
360.50000000000466,1.6612279200000013,-0.00022559999999987847,-0.012925927638854499,
360.6000000000047,1.6612053680000014,-0.00022551999999987794,-0.012921343976726625,
360.7000000000047,1.6611828240000015,-0.00022543999999987741,-0.012916760314598588,
