Time,Stress,Derivative,SecondDerivative
341.50000000000034,1.6656574800000001,-0.0002413999999999829,
341.60000000000036,1.6656333440000002,-0.00024135999999998266,
341.7000000000004,1.6656092120000001,-0.0002413199999999824,
341.8000000000004,1.6655850840000002,-0.00024127999999998216,
341.90000000000043,1.66556096,-0.0002412399999999819,
342.00000000000045,1.6655368400000001,-0.00024119999999998166,
342.1000000000005,1.665512724,-0.0002411599999999814,
342.2000000000005,1.665488612,-0.00024111999999998116,
342.3000000000005,1.665464504,-0.0002410799999999809,
342.40000000000055,1.6654404,-0.00024103999999998066,
342.50000000000057,1.6654163,-0.0002409999999999804,
342.6000000000006,1.665392204,-0.00024095999999998016,
342.7000000000006,1.665368112,-0.0002409199999999799,
342.80000000000064,1.665344024,-0.00024087999999997966,
342.90000000000066,1.6653199399999998,-0.0002408399999999794,
343.0000000000007,1.6652958599999999,-0.00024079999999997915,
343.1000000000007,1.6652717839999998,-0.0002407599999999789,
343.2000000000007,1.6652477119999998,-0.00024071999999997865,
343.30000000000075,1.6652236439999997,-0.0002406799999999784,
343.4000000000008,1.6651995799999997,-0.00024063999999997815,
343.5000000000008,1.6651755199999996,-0.0002405999999999779,
343.6000000000008,1.6651514639999996,-0.00024055999999997765,
343.70000000000084,1.6651274119999995,-0.0002405199999999774,
343.80000000000086,1.6651033639999995,-0.00024047999999997715,
343.9000000000009,1.6650793199999996,-0.0002404399999999769,
344.0000000000009,1.6650552799999996,-0.00024039999999997665,
344.10000000000093,1.6650312439999997,-0.0002403599999999764,
344.20000000000095,1.6650072119999997,-0.00024031999999997615,
344.300000000001,1.6649831839999998,-0.0002402799999999759,
344.400000000001,1.6649591599999998,-0.00024023999999997565,
344.500000000001,1.6649351399999999,-0.0002401999999999754,
344.60000000000105,1.6649111239999999,-0.00024015999999997515,
344.70000000000107,1.664887112,-0.0002401199999999749,
344.8000000000011,1.664863104,-0.00024007999999997465,
344.9000000000011,1.6648391,-0.0002400399999999744,
345.00000000000114,1.6648151,-0.00023999999999997415,
345.10000000000116,1.664791104,-0.0002399599999999739,
345.2000000000012,1.664767112,-0.00023991999999997365,
345.3000000000012,1.6647431240000001,-0.0002398799999999734,
345.4000000000012,1.66471914,-0.00023983999999997315,
345.50000000000125,1.6646951600000002,-0.0002397999999999729,
345.6000000000013,1.6646711840000001,-0.00023975999999997265,
345.7000000000013,1.6646472120000002,-0.0002397199999999724,
345.8000000000013,1.6646232440000002,-0.00023967999999997215,
345.90000000000134,1.6645992800000002,-0.0002396399999999719,
346.00000000000136,1.6645753200000002,-0.00023959999999997164,
346.1000000000014,1.6645513640000003,-0.0002395599999999714,
346.2000000000014,1.6645274120000002,-0.00023951999999997114,
346.30000000000143,1.6645034640000003,-0.0002394799999999709,
346.40000000000146,1.6644795200000002,-0.00023943999999997064,
346.5000000000015,1.6644555800000003,-0.0002393999999999704,
346.6000000000015,1.6644316440000002,-0.00023935999999997014,
346.7000000000015,1.6644077120000003,-0.0002393199999999699,
346.80000000000155,1.6643837840000002,-0.00023927999999996964,
346.90000000000157,1.6643598600000002,-0.0002392399999999694,
347.0000000000016,1.6643359400000002,-0.00023919999999996914,
347.1000000000016,1.6643120240000002,-0.0002391599999999689,
347.20000000000164,1.6642881120000002,-0.00023911999999996864,
347.30000000000166,1.6642642040000002,-0.0002390799999999684,
347.4000000000017,1.6642403000000001,-0.00023903999999996814,
347.5000000000017,1.6642164000000002,-0.0002389999999999679,
347.6000000000017,1.664192504,-0.00023895999999996764,
347.70000000000175,1.664168612,-0.0002389199999999674,
347.8000000000018,1.664144724,-0.00023887999999996714,
347.9000000000018,1.66412084,-0.0002388399999999669,
348.0000000000018,1.66409696,-0.00023879999999996664,
348.10000000000184,1.664073084,-0.0002387599999999664,
348.20000000000186,1.6640492119999999,-0.00023871999999996614,
348.3000000000019,1.664025344,-0.0002386799999999659,
348.4000000000019,1.6640014799999998,-0.00023863999999996564,
348.50000000000193,1.6639776199999998,-0.00023859999999996539,
348.60000000000196,1.6639537639999997,-0.00023855999999996514,
348.700000000002,1.6639299119999997,-0.00023851999999996489,
348.800000000002,1.6639060639999996,-0.00023847999999996463,
348.900000000002,1.6638822199999996,-0.00023843999999996438,
349.00000000000205,1.6638583799999997,-0.00023839999999996413,
349.10000000000207,1.6638345439999997,-0.00023835999999996388,
349.2000000000021,1.6638107119999999,-0.00023831999999996363,
349.3000000000021,1.6637868839999999,-0.00023827999999996338,
349.40000000000214,1.66376306,-0.00023823999999996313,
349.50000000000216,1.66373924,-0.00023819999999996288,
349.6000000000022,1.663715424,-0.00023815999999996263,
349.7000000000022,1.663691612,-0.00023811999999996238,
349.8000000000022,1.6636678040000001,-0.00023807999999996213,
349.90000000000225,1.6636440000000001,-0.00023803999999996188,
350.0000000000023,1.6636202000000002,-0.00023799999999996163,
350.1000000000023,1.6635964040000002,-0.00023795999999996138,
350.2000000000023,1.6635726120000003,-0.00023791999999996113,
350.30000000000234,1.6635488240000003,-0.00023787999999996088,
350.40000000000236,1.6635250400000003,-0.00023783999999996063,
350.5000000000024,1.6635012600000003,-0.00023779999999996038,
350.6000000000024,1.6634774840000004,-0.00023775999999996013,
350.70000000000243,1.6634537120000004,-0.00023771999999995988,
350.80000000000246,1.6634299440000004,-0.00023767999999995963,
350.9000000000025,1.6634061800000004,-0.00023763999999995938,
351.0000000000025,1.6633824200000005,-0.00023759999999995913,
351.1000000000025,1.6633586640000004,-0.00023755999999995888,
351.20000000000255,1.6633349120000005,-0.00023751999999995863,
351.30000000000257,1.6633111640000005,-0.00023747999999995838,
351.4000000000026,1.6632874200000005,-0.00023743999999995813,
351.5000000000026,1.6632636800000005,-0.00023739999999995788,
351.60000000000264,1.6632399440000005,-0.00023735999999995763,
351.70000000000266,1.6632162120000005,-0.00023731999999995738,
351.8000000000027,1.6631924840000005,-0.00023727999999995712,
351.9000000000027,1.6631687600000005,-0.00023723999999995687,
352.00000000000273,1.6631450400000005,-0.00023719999999995662,
352.10000000000275,1.6631213240000005,-0.00023715999999995637,
352.2000000000028,1.6630976120000005,-0.00023711999999995612,
352.3000000000028,1.6630739040000004,-0.00023707999999995587,
352.4000000000028,1.6630502000000005,-0.00023703999999995562,
352.50000000000284,1.6630265000000004,-0.00023699999999995537,
352.60000000000286,1.6630028040000004,-0.00023695999999995512,
352.7000000000029,1.6629791120000004,-0.00023691999999995487,
352.8000000000029,1.6629554240000004,-0.00023687999999995462,
352.90000000000293,1.6629317400000003,-0.00023683999999995437,
353.00000000000296,1.6629080600000004,-0.00023679999999995412,
353.100000000003,1.6628843840000003,-0.00023675999999995387,
353.200000000003,1.6628607120000003,-0.00023671999999995362,
353.300000000003,1.6628370440000002,-0.00023667999999995337,
353.40000000000305,1.6628133800000002,-0.00023663999999995312,
353.50000000000307,1.6627897200000001,-0.00023659999999995287,
353.6000000000031,1.6627660640000002,-0.00023655999999995262,
353.7000000000031,1.662742412,-0.00023651999999995237,
353.80000000000314,1.662718764,-0.00023647999999995212,
353.90000000000316,1.66269512,-0.00023643999999995187,
354.0000000000032,1.66267148,-0.00023639999999995162,
354.1000000000032,1.6626478439999999,-0.00023635999999995137,
354.20000000000323,1.6626242119999999,-0.00023631999999995112,
354.30000000000325,1.662600584,-0.00023627999999995087,
354.4000000000033,1.66257696,-0.00023623999999995062,
354.5000000000033,1.66255334,-0.00023619999999995037,
354.6000000000033,1.662529724,-0.00023615999999995012,
354.70000000000334,1.6625061120000002,-0.00023611999999994986,
354.80000000000337,1.6624825040000002,-0.00023607999999994961,
354.9000000000034,1.6624589000000003,-0.00023603999999994936,
355.0000000000034,1.6624353000000003,-0.00023599999999994911,
355.10000000000343,1.6624117040000004,-0.00023595999999994886,
355.20000000000346,1.6623881120000004,-0.0002359199999999486,
355.3000000000035,1.6623645240000005,-0.00023587999999994836,
355.4000000000035,1.6623409400000004,-0.0002358399999999481,
355.5000000000035,1.6623173600000005,-0.00023579999999994786,
355.60000000000355,1.6622937840000005,-0.0002357599999999476,
355.70000000000357,1.6622702120000006,-0.00023571999999994736,
355.8000000000036,1.6622466440000006,-0.0002356799999999471,
355.9000000000036,1.6622230800000006,-0.00023563999999994686,
356.00000000000364,1.6621995200000006,-0.0002355999999999466,
356.10000000000366,1.6621759640000007,-0.00023555999999994636,
356.2000000000037,1.6621524120000006,-0.0002355199999999461,
356.3000000000037,1.6621288640000007,-0.00023547999999994586,
356.40000000000373,1.6621053200000007,-0.0002354399999999456,
356.50000000000375,1.6620817800000007,-0.00023539999999994536,
356.6000000000038,1.6620582440000007,-0.0002353599999999451,
356.7000000000038,1.6620347120000007,-0.00023531999999994486,
356.8000000000038,1.6620111840000007,-0.0002352799999999446,
356.90000000000384,1.6619876600000008,-0.00023523999999994436,
357.00000000000387,1.6619641400000007,-0.0002351999999999441,
357.1000000000039,1.6619406240000008,-0.00023515999999994386,
357.2000000000039,1.6619171120000007,-0.0002351199999999436,
357.30000000000393,1.6618936040000007,-0.00023507999999994336,
357.40000000000396,1.6618701000000007,-0.0002350399999999431,
357.500000000004,1.6618466000000007,-0.00023499999999994286,
357.600000000004,1.6618231040000007,-0.0002349599999999426,
