Time,Stress,Derivative,RateInDegrees,SecondDerivative
0,0.91316,,,
20,0.8564,-0.002837999999999996,-0.16260498570565485,
40,0.84617,-0.0005115000000000036,-0.02930678866507497,0.00011632499999999962
60,0.84011,-0.0003029999999999977,-0.017360620661176752,1.0425000000000294E-05
80,0.83627,-0.00019200000000000328,-0.011000789531334295,5.5499999999997216E-06
100,0.83264,-0.00018149999999999555,-0.01039918386743335,5.250000000003868E-07
120,0.82995,-0.00013450000000000406,-0.007706282298040281,2.3499999999995747E-06
140,0.82757,-0.00011899999999999689,-0.006818197729872452,7.750000000003583E-07
160,0.8254,-0.00010850000000000027,-0.006216592052775022,5.249999999998312E-07
180,0.82345,-9.750000000000036E-05,-0.005586338484823837,5.49999999999995E-07
200,0.82169,-8.799999999999918E-05,-0.005042028584136041,4.75000000000059E-07
220,0.82022,-7.350000000000412E-05,-0.004211239786628397,7.249999999997533E-07
240,0.81868,-7.69999999999993E-05,-0.0044117750137881604,-1.7499999999975896E-07
260,0.81754,-5.6999999999995944E-05,-0.0032658594287085342,1.0000000000001677E-06
280,0.81633,-6.0500000000002216E-05,-0.0034663946563123172,-1.7500000000031358E-07
280.1,0.81632395175,-6.048250000000224E-05,-0.003465391980174509,
280.20000000000005,0.81631790525,-6.046500000000226E-05,-0.0034643893040366977,
280.30000000000007,0.8163118605,-6.0447500000002284E-05,-0.0034633866278988845,
280.4000000000001,0.8163058175000001,-6.0430000000002306E-05,-0.00346238395176107,
280.5000000000001,0.81629977625,-6.041250000000233E-05,-0.0034613812756232524,
280.60000000000014,0.81629373675,-6.039500000000235E-05,-0.0034603785994854336,
280.70000000000016,0.8162876990000001,-6.0377500000002374E-05,-0.003459375923347612,
280.8000000000002,0.816281663,-6.03600000000024E-05,-0.0034583732472097885,
280.9000000000002,0.81627562875,-6.034250000000242E-05,-0.0034573705710719627,
281.0000000000002,0.8162695962500001,-6.032500000000244E-05,-0.003456367894934135,
281.10000000000025,0.8162635655,-6.0307500000002465E-05,-0.003455365218796305,
281.2000000000003,0.8162575365,-6.029000000000249E-05,-0.003454362542658473,
281.3000000000003,0.81625150925,-6.027250000000251E-05,-0.003453359866520639,
281.4000000000003,0.8162454837500001,-6.025500000000253E-05,-0.003452357190382803,
281.50000000000034,0.81623946,-6.0237500000002555E-05,-0.003451354514244965,
281.60000000000036,0.816233438,-6.022000000000258E-05,-0.0034503518381071244,
281.7000000000004,0.8162274177500001,-6.02025000000026E-05,-0.0034493491619692817,
281.8000000000004,0.81622139925,-6.018500000000262E-05,-0.0034483464858314373,
281.90000000000043,0.8162153825,-6.0167500000002646E-05,-0.0034473438096935902,
282.00000000000045,0.8162093675000001,-6.015000000000267E-05,-0.0034463411335557415,
282.1000000000005,0.81620335425,-6.013250000000269E-05,-0.0034453384574178905,
282.2000000000005,0.81619734275,-6.0115000000002713E-05,-0.0034443357812800374,
282.3000000000005,0.816191333,-6.0097500000002736E-05,-0.003443333105142182,
282.40000000000055,0.8161853250000001,-6.008000000000276E-05,-0.0034423304290043246,
282.50000000000057,0.81617931875,-6.006250000000278E-05,-0.0034413277528664655,
282.6000000000006,0.8161733142500001,-6.0045000000002804E-05,-0.003440325076728604,
282.7000000000006,0.8161673115000001,-6.0027500000002827E-05,-0.00343932240059074,
282.80000000000064,0.8161613105000001,-6.001000000000285E-05,-0.0034383197244528744,
282.90000000000066,0.8161553112500001,-5.999250000000287E-05,-0.003437317048315006,
283.0000000000007,0.8161493137500001,-5.9975000000002894E-05,-0.0034363143721771365,
283.1000000000007,0.8161433180000001,-5.995750000000292E-05,-0.0034353116960392643,
283.2000000000007,0.816137324,-5.994000000000294E-05,-0.0034343090199013904,
283.30000000000075,0.8161313317500001,-5.992250000000296E-05,-0.003433306343763514,
283.4000000000008,0.81612534125,-5.9905000000002985E-05,-0.0034323036676256356,
283.5000000000008,0.8161193525,-5.988750000000301E-05,-0.003431300991487755,
283.6000000000008,0.8161133655,-5.987000000000303E-05,-0.0034302983153498725,
283.70000000000084,0.8161073802500001,-5.985250000000305E-05,-0.0034292956392119878,
283.80000000000086,0.81610139675,-5.9835000000003075E-05,-0.0034282929630741013,
283.9000000000009,0.816095415,-5.98175000000031E-05,-0.003427290286936212,
284.0000000000009,0.8160894350000001,-5.980000000000312E-05,-0.0034262876107983213,
284.10000000000093,0.81608345675,-5.978250000000314E-05,-0.003425284934660428,
284.20000000000095,0.81607748025,-5.9765000000003166E-05,-0.003424282258522533,
284.300000000001,0.8160715055000001,-5.974750000000319E-05,-0.0034232795823846353,
284.400000000001,0.8160655325,-5.973000000000321E-05,-0.003422276906246736,
284.500000000001,0.81605956125,-5.9712500000003234E-05,-0.003421274230108835,
284.60000000000105,0.81605359175,-5.9695000000003256E-05,-0.003420271553970931,
284.70000000000107,0.8160476240000001,-5.967750000000328E-05,-0.003419268877833026,
284.8000000000011,0.8160416580000001,-5.96600000000033E-05,-0.0034182662016951177,
284.9000000000011,0.8160356937500001,-5.9642500000003324E-05,-0.0034172635255572082,
285.00000000000114,0.8160297312500001,-5.962500000000335E-05,-0.003416260849419296,
285.10000000000116,0.8160237705000001,-5.960750000000337E-05,-0.003415258173281382,
285.2000000000012,0.8160178115000001,-5.959000000000339E-05,-0.003414255497143466,
285.3000000000012,0.8160118542500001,-5.9572500000003414E-05,-0.0034132528210055473,
285.4000000000012,0.8160058987500001,-5.955500000000344E-05,-0.0034122501448676274,
285.50000000000125,0.8159999450000001,-5.953750000000346E-05,-0.003411247468729705,
