Time,Stress,Derivative,SecondDerivative
0,2.48348,,
2,2.39147,-0.046005000000000074,
4,2.34412,-0.02367499999999989,-0.011837499999999945
6,2.31129,-0.01641500000000007,0.014795000000000003
8,2.28503,-0.013130000000000086,0.005272499999999902
10,2.26332,-0.010854999999999837,0.0027800000000001157
12,2.244,-0.009660000000000002,0.001735000000000042
14,2.22688,-0.008560000000000123,0.001147499999999857
16,2.20914,-0.008869999999999933,
18,2.19204,-0.008550000000000058,0.0005549999999999722
20,2.17357,-0.009235000000000104,
22,2.14714,-0.013214999999999977,
24,2.08285,-0.03214499999999987,
26,2.06135,-0.010750000000000037,-0.0009400000000000519
28,2.04301,-0.0091699999999999,0.011487499999999984
30,2.02983,-0.006590000000000096,0.0020799999999999708
32,2.01865,-0.005589999999999984,0.0017899999999999583
34,2.00875,-0.00495000000000001,0.0008200000000000429
36,2.00004,-0.004355000000000109,0.0006174999999999375
38,1.99165,-0.004194999999999949,0.0003775000000000306
40,1.98413,-0.0037599999999999856,0.0002975000000000616
42,1.97584,-0.004144999999999954,
44,1.96881,-0.003515000000000046,0.00033999999999995145
46,1.96307,-0.002869999999999928,0.0006375000000000131
48,1.95665,-0.003210000000000046,
50,1.95086,-0.002894999999999981,0.00031000000000003247
52,1.94503,-0.002915000000000001,
54,1.93927,-0.0028799999999999937,0.00016500000000002624
56,1.93439,-0.0024399999999999977,0.0002375000000000016
58,1.92999,-0.0021999999999999797,0.00034000000000000696
60,1.92566,-0.0021650000000000835,0.0001374999999999571
62,1.92031,-0.002674999999999983,
64,1.91595,-0.0021799999999999597,1.0000000000010001E-05
66,1.91176,-0.002095000000000069,0.00028999999999995696
68,1.90856,-0.0015999999999999348,0.00029000000000001247
70,1.90344,-0.0025600000000000067,
72,1.89976,-0.0018400000000000638,0.0001275000000000026
74,1.89653,-0.001614999999999922,0.00047250000000004233
76,1.89269,-0.0019200000000000328,
78,1.88849,-0.0020999999999999908,
80,1.88558,-0.001454999999999984,0.00019250000000003986
82,1.8826,-0.0014899999999999913,
84,1.8797,-0.0014500000000000624,0.0003249999999999642
86,1.87541,-0.0021449999999999525,
88,1.87302,-0.0011950000000000571,0.0001474999999999671
90,1.86984,-0.0015899999999999803,
92,1.86735,-0.0012449999999999406,0.00045000000000000595
94,1.86444,-0.001454999999999984,
96,1.86183,-0.0013050000000000006,0.00014249999999998986
98,1.85889,-0.0014700000000000824,
100,1.8567,-0.0010949999999999571,0.00018000000000001348
100.1,1.8565906,-0.0010939999999999561,
100.19999999999999,1.8564813,-0.0010929999999999551,
100.29999999999998,1.8563721,-0.0010919999999999541,
100.39999999999998,1.856263,-0.0010909999999999531,
100.49999999999997,1.856154,-0.0010899999999999521,
100.59999999999997,1.8560451,-0.0010889999999999511,
100.69999999999996,1.8559363,-0.0010879999999999501,
100.79999999999995,1.8558276,-0.0010869999999999491,
100.89999999999995,1.8557190000000001,-0.0010859999999999481,
100.99999999999994,1.8556105,-0.0010849999999999471,
101.09999999999994,1.8555021,-0.0010839999999999461,
101.19999999999993,1.8553938,-0.0010829999999999451,
101.29999999999993,1.8552856000000002,-0.0010819999999999441,
101.39999999999992,1.8551775000000001,-0.0010809999999999431,
101.49999999999991,1.8550695000000001,-0.0010799999999999421,
101.59999999999991,1.8549616000000002,-0.0010789999999999411,
101.6999999999999,1.8548538,-0.0010779999999999401,
101.7999999999999,1.8547461,-0.0010769999999999391,
101.89999999999989,1.8546385,-0.0010759999999999381,
101.99999999999989,1.8545310000000002,-0.0010749999999999371,
102.09999999999988,1.8544236,-0.0010739999999999361,
102.19999999999987,1.8543163,-0.0010729999999999351,
102.29999999999987,1.8542091,-0.0010719999999999341,
102.39999999999986,1.8541020000000001,-0.0010709999999999331,
102.49999999999986,1.853995,-0.0010699999999999321,
102.59999999999985,1.8538881,-0.0010689999999999311,
102.69999999999985,1.8537813,-0.0010679999999999301,
102.79999999999984,1.8536746000000002,-0.0010669999999999291,
102.89999999999984,1.853568,-0.0010659999999999281,
102.99999999999983,1.8534615,-0.0010649999999999271,
103.09999999999982,1.8533551000000001,-0.0010639999999999261,
103.19999999999982,1.8532488000000003,-0.0010629999999999251,
103.29999999999981,1.8531426000000002,-0.0010619999999999241,
103.3999999999998,1.8530365000000002,-0.0010609999999999231,
103.4999999999998,1.8529305000000003,-0.0010599999999999221,
103.5999999999998,1.8528246000000004,-0.0010589999999999211,
103.69999999999979,1.8527188000000003,-0.0010579999999999201,
103.79999999999978,1.8526131000000003,-0.0010569999999999191,
103.89999999999978,1.8525075000000004,-0.0010559999999999181,
103.99999999999977,1.8524020000000003,-0.0010549999999999171,
104.09999999999977,1.8522966000000003,-0.0010539999999999161,
104.19999999999976,1.8521913000000003,-0.0010529999999999151,
104.29999999999976,1.8520861000000004,-0.0010519999999999141,
104.39999999999975,1.8519810000000003,-0.0010509999999999131,
104.49999999999974,1.8518760000000003,-0.0010499999999999121,
104.59999999999974,1.8517711000000003,-0.0010489999999999111,
104.69999999999973,1.8516663000000004,-0.0010479999999999101,
104.79999999999973,1.8515616000000004,-0.0010469999999999091,
104.89999999999972,1.8514570000000004,-0.0010459999999999081,
104.99999999999972,1.8513525000000004,-0.0010449999999999071,
105.09999999999971,1.8512481000000005,-0.0010439999999999061,
105.1999999999997,1.8511438000000005,-0.0010429999999999051,
105.2999999999997,1.8510396000000005,-0.0010419999999999041,
105.3999999999997,1.8509355000000005,-0.0010409999999999031,
105.49999999999969,1.8508315000000006,-0.0010399999999999021,
105.59999999999968,1.8507276000000006,-0.0010389999999999011,
105.69999999999968,1.8506238000000006,-0.0010379999999999001,
105.79999999999967,1.8505201000000007,-0.0010369999999998991,
105.89999999999966,1.8504165000000006,-0.0010359999999998981,
105.99999999999966,1.8503130000000005,-0.0010349999999998971,
106.09999999999965,1.8502096000000006,-0.0010339999999998961,
106.19999999999965,1.8501063000000006,-0.0010329999999998951,
106.29999999999964,1.8500031000000006,-0.0010319999999998941,
106.39999999999964,1.8499000000000005,-0.0010309999999998931,
106.49999999999963,1.8497970000000006,-0.0010299999999998921,
106.59999999999962,1.8496941000000007,-0.0010289999999998911,
106.69999999999962,1.8495913000000006,-0.0010279999999998901,
106.79999999999961,1.8494886000000006,-0.0010269999999998891,
106.89999999999961,1.8493860000000006,-0.0010259999999998881,
106.9999999999996,1.8492835000000007,-0.0010249999999998871,
107.0999999999996,1.8491811000000007,-0.0010239999999998861,
107.19999999999959,1.8490788000000007,-0.0010229999999998851,
107.29999999999959,1.8489766000000007,-0.0010219999999998841,
107.39999999999958,1.8488745000000009,-0.0010209999999998831,
107.49999999999957,1.8487725000000008,-0.0010199999999998821,
107.59999999999957,1.8486706000000008,-0.0010189999999998811,
107.69999999999956,1.848568800000001,-0.0010179999999998801,
107.79999999999956,1.8484671000000008,-0.0010169999999998791,
107.89999999999955,1.8483655000000008,-0.0010159999999998781,
107.99999999999955,1.8482640000000008,-0.0010149999999998771,
108.09999999999954,1.8481626000000009,-0.0010139999999998761,
108.19999999999953,1.8480613000000008,-0.0010129999999998751,
108.29999999999953,1.8479601000000008,-0.0010119999999998741,
108.39999999999952,1.8478590000000008,-0.0010109999999998731,
108.49999999999952,1.847758000000001,-0.0010099999999998721,
108.59999999999951,1.8476571000000008,-0.0010089999999998711,
108.6999999999995,1.8475563000000008,-0.0010079999999998701,
108.7999999999995,1.8474556000000009,-0.0010069999999998691,
108.8999999999995,1.847355000000001,-0.0010059999999998681,
108.99999999999949,1.847254500000001,-0.0010049999999998671,
109.09999999999948,1.847154100000001,-0.0010039999999998661,
109.19999999999948,1.847053800000001,-0.0010029999999998651,
109.29999999999947,1.846953600000001,-0.0010019999999998641,
109.39999999999947,1.846853500000001,-0.0010009999999998631,
109.49999999999946,1.846753500000001,-0.0009999999999998621,
109.59999999999945,1.8466536000000011,-0.0009989999999998611,
109.69999999999945,1.846553800000001,-0.0009979999999998601,
109.79999999999944,1.846454100000001,-0.0009969999999998591,
109.89999999999944,1.846354500000001,-0.0009959999999998581,
109.99999999999943,1.846255000000001,-0.0009949999999998571,
110.09999999999943,1.846155600000001,-0.0009939999999998561,
110.19999999999942,1.846056300000001,-0.0009929999999998551,
110.29999999999941,1.845957100000001,-0.0009919999999998541,
110.39999999999941,1.845858000000001,-0.0009909999999998531,
110.4999999999994,1.845759000000001,-0.0009899999999998521,
110.5999999999994,1.845660100000001,-0.0009889999999998511,
110.69999999999939,1.845561300000001,-0.0009879999999998501,
110.79999999999939,1.8454626000000012,-0.0009869999999998491,
110.89999999999938,1.8453640000000011,-0.0009859999999998481,
110.99999999999937,1.8452655000000011,-0.0009849999999998471,
111.09999999999937,1.8451671000000012,-0.0009839999999998461,
111.19999999999936,1.8450688000000013,-0.0009829999999998451,
111.29999999999936,1.8449706000000012,-0.0009819999999998441,
111.39999999999935,1.8448725000000012,-0.0009809999999998431,
111.49999999999935,1.8447745000000013,-0.0009799999999998421,
111.59999999999934,1.8446766000000014,-0.0009789999999998411,
111.69999999999933,1.8445788000000014,-0.00097799999999984,
111.79999999999933,1.8444811000000014,-0.000976999999999839,
111.89999999999932,1.8443835000000015,-0.0009759999999998381,
111.99999999999932,1.8442860000000014,-0.0009749999999998371,
112.09999999999931,1.8441886000000014,-0.0009739999999998361,
112.1999999999993,1.8440913000000014,-0.0009729999999998351,
112.2999999999993,1.8439941000000015,-0.0009719999999998341,
112.3999999999993,1.8438970000000015,-0.0009709999999998331,
112.49999999999929,1.8438000000000014,-0.0009699999999998321,
